,name,team_id
0,,
1,OG,2586976.0
2,Fnatic,350190.0
3,Team Secret,1838315.0
4,LGD.Forever Young,3331948.0
5,Evil Geniuses,39.0
6,Mineski.???,543897.0
7,Gambit Esports,4425117.0
8,Newbee,1375614.0
9,OpTic Gaming,5026801.0
10,LGD-GAMING,15.0
11,Double Dimension,5167588.0
12,VGJ Thunder,5027210.0
13,Natus Vincere,36.0
14,Vici Gaming,726228.0
15,Clutch Gamers,3659536.0
16,Digital Chaos,5196328.0
17,Team Liquid,2163.0
18,Big God,5219641.0
19,Team. Spirit,2621843.0
20,Invictus Gaming,5.0
21,Immortals,5051649.0
22,Virtus.pro,1883502.0
23,FlyToMoon,5229127.0
24,compLexity Gaming,3.0
25,VGJ Storm,5228654.0
26,Eclipse,4425650.0
27,Team Empire,46.0
28,Mad Lads,5229049.0
29,The Final Tribe,5059375.0
30,EHOME,4.0
31,cripz 4 life,3704482.0
32,iG.Vitality,2640025.0
33,Alliance,111474.0
34,Admiral,5207190.0
35,Effect,5197722.0
36,TNC Predator,2108395.0
37,TaskUs TITANS,5063845.0
38,Entity Gaming,4369633.0
39,Vega Squadron,2006913.0
40,Rock.Young,4288603.0
41,EHOME.immortal,5017210.0
42,Stan King,5028104.0
43,Sun Gaming,5036221.0
44,Spartak Esports,4254415.0
45,Fire Dragoon,2880140.0
46,5 Anchors No Captain,5154470.0
47,Effect,2790766.0
48,Kingdra,2786652.0
49,Comanche,1964407.0
50,SG e-sports team,3715574.0
51,Execration.????,2581813.0
52,TEAM FLASH,5196343.0
53,paiN Gaming,67.0
54,TEAM MAX,3325252.0
55,Team Serenity,5066616.0
56,Mad Kings  e-Sports,3705786.0
57,WarriorsGaming.Unity,2659468.0
58,Happy  Feet,3725701.0
59,Gorillaz-Pride,5055770.0
60,Rock Gaming,3349045.0
61,KEEN GAMING,2626685.0
62,Sacred,5028043.0
63,TEAM EVER,4287101.0
64,STARS e-Sports,4324365.0
65,Ten Twenty,4424013.0
66,Team Braveheart,1983234.0
67,Team Singularity,4541043.0
68,Geek Fam,3586078.0
69,TSHOW RISING,2527544.0
70,Midas Club ,3477208.0
71,Echo Gaming,5152964.0
72,The Prime NND,3262512.0
73,Quid Pro Quo,5001936.0
74,DotA Mastery,5037507.0
75,Drago,4282493.0
76,Elite Wolves,5030994.0
77,BOOM ID,3785359.0
78,BLUE PIKACHU,5020794.0
79, ,5198236.0
80,Team EVOS,3262331.0
81,Rex Regum QEON,1105664.0
82,Signify,5138280.0
83,Team Ever,5216146.0
84,AGV????,5189811.0
85,Helsinki REDS,5015830.0
86,MEGA-LADA E-sports,5050733.0
87,Nemiga Gaming,5014799.0
88,EternaLEnVy's disciples,867556.0
89,Yellow Submarine!,2578382.0
