"","Rating","Avg 7d","Δ7d","Avg 30d","Δ30d","Rating","Avg 7d","Δ7d","Avg 30d","Δ30d","Rating","μ","σ","Δrat.7d","Rating","μ","φ","Δrat. 7d"
"Team Liquid  Team Liquid (Liquid)","1248,84","1275,56","-36,34","1253,45","+94,50","1361,30","1436,04","-94,70","1402,57","+146,34","1916,45","2211,84","118,16","-25,74","1974,82","2089,95","46,05","-7,26"
"Team Secret  Team Secret (Secret)","1214,73","1212,55","-1,91","1230,53","-10,00","1328,05","1325,75","-4,14","1356,33","-17,79","1801,72","2212,67","164,38","+17,18","1921,51","2039,47","47,18","-1,23"
"Newbee  Newbee (Newbee)","1143,95","1168,41","-31,53","1208,91","-47,00","1163,57","1212,05","-59,96","1288,43","-91,79","1837,80","2102,48","105,88","-54,08","1902,20","2006,33","41,65","-11,25"
"Vici Gaming  Vici Gaming (VG)","1202,34","1158,73","+46,68","1178,85","-23,18","1326,61","1210,74","+128,39","1237,28","+20,07","1925,28","2196,28","108,40","+161,19","1901,14","2003,82","41,07","+13,00"
"Virtus.pro  Virtus.pro (VP)","1193,83","1150,80","+46,17","1164,83","-2,15","1323,01","1228,38","+103,69","1251,13","+4,87","1872,39","2208,56","134,47","+260,17","1892,86","2013,85","48,39","+16,33"
"Evil Geniuses  Evil Geniuses (EG)","1182,22","1213,99","-75,95","1185,15","+39,93","1266,13","1316,77","-145,03","1280,29","+60,33","1904,81","2083,19","71,35","-9,07","1872,02","1976,62","41,84","-7,80"
"OG  OG (OG)","1278,00","1270,63","+22,60","1215,52","+85,31","1372,30","1359,96","+18,90","1279,19","+134,61","1929,23","2143,97","85,90","+23,54","1865,36","1972,79","42,97","+3,60"
"LGD-GAMING  LGD-GAMING (LGD)","1227,41","1219,30","+4,74","1217,10","+10,60","1355,75","1338,51","+12,72","1368,83","-53,41","1905,29","2157,85","101,02","+36,38","1865,21","1965,79","40,23","+2,07"
"VGJ Thunder  VGJ Thunder (VGJ.T)","1257,85","1264,17","-12,72","1217,37","+53,56","1405,33","1415,26","-20,00","1329,26","+78,89","1797,70","2129,52","132,73","-67,05","1862,07","1965,62","41,42","-3,35"
"Mineski.亿鼎博  Mineski.亿鼎博 (Mski)","1193,30","1218,42","-33,31","1151,58","+79,38","1283,65","1337,15","-68,30","1222,77","+137,97","1929,50","2072,58","57,23","-4,31","1836,68","1938,11","40,57","-4,98"
"LGD.Forever Young  LGD.Forever Young","1058,31","1059,74","-2,88","1058,38","-38,37","1080,70","1082,68","-3,98","1068,69","-51,72","1489,01","1846,35","142,94","-61,21","1802,61","1913,52","44,37","-3,13"
"compLexity Gaming  compLexity Gaming (coL)","1171,06","1188,28","+31,61","1125,81","+54,82","1246,79","1311,94","+16,73","1201,62","+97,23","1904,64","2022,20","47,02","-9,44","1802,56","1896,55","37,60","-9,91"
"Fnatic  Fnatic (Fnatic)","1169,78","1162,44","+20,99","1150,22","-13,56","1248,74","1237,96","+33,44","1221,83","-66,18","1862,18","2020,10","63,17","+7,35","1797,80","1895,42","39,05","+0,92"
"OpTic Gaming  OpTic Gaming (td)","1126,27","1122,21","-19,52","1129,64","+41,96","1221,07","1190,13","-6,66","1209,53","+119,99","1848,61","2002,87","61,70","+16,02","1778,34","1882,86","41,81","+2,52"
"TNC Pro Team  TNC Pro Team (TNC)","1037,29","1043,15","-41,42","1067,48","-68,61","1018,00","1028,36","-80,26","1079,42","-135,18","1652,55","1906,47","101,57","-97,47","1749,12","1847,29","39,26","-3,51"
"Natus Vincere  Natus Vincere (Na`Vi)","1019,86","1029,51","-11,67","1061,56","-70,72","1009,83","1023,14","-15,73","1081,83","-121,95","1549,09","1803,02","101,57","-6,26","1740,36","1857,03","46,67","-7,68"
"Invictus Gaming  Invictus Gaming (iG)","997,20","997,13","+0,14","996,89","+0,64","998,06","998,02","+0,10","997,85","+0,44","1317,69","1840,11","208,97","-39,80","1738,81","1865,75","50,77","-2,77"
"Team Empire  Team Empire (Empire)","1067,55","1069,21","-3,33","1046,95","+51,02","1076,05","1077,91","-3,75","1070,47","+50,16","1575,60","1918,54","137,18","-64,36","1726,10","1835,91","43,92","-3,19"
"Digital Chaos  Digital Chaos (DC)","1032,48","1033,27","-1,60","1036,08","-7,45","1038,84","1039,79","-1,92","1043,14","-8,90","1143,70","1921,26","311,02","-26,16","1693,10","1838,30","58,08","-2,37"
"EHOME  EHOME (EHOME)","1040,14","1041,12","-1,98","1033,03","+11,51","1057,39","1058,80","-2,83","1052,27","+7,77","1491,88","1870,53","151,46","-57,13","1688,40","1809,12","48,29","-2,96"
"Immortals  Immortals (IMT)","1050,92","1050,23","+14,86","1032,75","+19,72","1095,47","1103,89","+17,16","1053,36","+59,50","1695,21","1887,48","76,91","+54,04","1682,30","1806,33","49,61","+20,34"
"KEEN GAMING  KEEN GAMING (EHOME.K)","1065,05","1066,64","-3,21","1038,52","+54,80","1135,42","1138,73","-6,68","1088,21","+96,99","1532,27","1936,07","161,52","-53,01","1679,86","1803,81","49,58","-2,80"
"Team. Spirit  Team. Spirit (TSpirit)","1062,79","1064,33","-3,10","1056,92","+7,15","1118,17","1121,06","-5,83","1120,37","-10,13","1560,84","1846,41","114,23","-81,73","1667,30","1782,76","46,18","-2,99"
"Vega Squadron  Vega Squadron (Vega)","1060,09","1061,56","-2,96","1089,94","-50,46","1078,31","1080,23","-3,86","1138,33","-99,85","1467,00","1793,27","130,51","-68,49","1661,53","1777,45","46,37","-2,97"
"Execration.安博电竞  Execration.安博电竞 (XctN)","1035,31","1030,89","+40,52","1027,04","+5,18","1098,82","1089,92","+85,65","1073,74","+19,35","1620,35","1886,96","106,64","-90,31","1659,04","1765,87","42,73","-3,22"
"paiN Gaming  paiN Gaming (paiN)","1198,37","1193,57","+6,80","1135,65","+91,80","1291,85","1274,97","+26,46","1220,16","+95,45","1666,70","1918,87","100,87","-98,58","1646,44","1756,33","43,96","-3,15"
"Effect  Effect (FlipSid3)","1083,28","1085,32","-4,11","1092,51","-19,09","1203,33","1208,31","-10,03","1225,86","-46,62","1320,55","1860,62","216,03","-38,40","1643,90","1778,28","53,75","-2,56"
"Iceberg Esports  Iceberg Esports (ap)","966,24","988,23","-35,06","1066,69","-156,10","917,04","956,53","-61,33","1108,62","-365,07","1511,13","1791,57","112,18","-83,85","1639,34","1786,03","58,68","-2,34"
"Team Kinguin  Team Kinguin (KGN)","1016,79","1003,33","-12,21","1040,68","-78,81","1046,17","1023,88","-51,62","1041,32","-68,30","1594,64","1759,09","65,78","+22,32","1636,97","1744,03","42,82","+5,94"
"Geek Fam  Geek Fam","1011,78","1014,74","-21,94","1035,04","-30,11","1006,18","1011,54","-41,93","1063,67","-77,41","1562,88","1837,52","109,86","-86,42","1631,30","1755,24","49,58","-2,76"
"Eclipse  Eclipse","996,49","996,41","+0,17","1018,20","-36,89","981,92","981,48","+0,89","1029,52","-83,80","1409,79","1790,90","152,44","-56,70","1621,12","1757,72","54,64","-2,51"
"Vici Gaming Potential  Vici Gaming Potential (VG.P)","1078,54","1080,47","-3,88","1087,25","-18,01","1102,24","1104,74","-5,04","1113,57","-23,44","1119,34","1753,89","253,82","-32,34","1620,77","1767,53","58,71","-2,33"
"CDEC Gaming  CDEC Gaming (CDEC)","1019,96","1020,45","-0,98","1022,17","-4,58","1068,18","1069,85","-3,36","1075,74","-15,63","1281,78","1810,13","211,34","-39,32","1606,65","1754,78","59,25","-2,33"
"The Final Tribe  The Final Tribe (FT)","1057,98","1070,92","-25,97","1027,61","+57,98","1073,06","1094,86","-36,50","1058,03","+46,47","1580,70","1842,39","104,68","-92,93","1604,73","1753,52","59,52","-2,30"
"SG e-sports team  SG e-sports team","1113,31","1114,31","+35,09","1078,92","+46,17","1165,91","1169,82","+70,54","1117,84","+87,82","1556,28","1820,07","105,52","-91,79","1600,81","1708,49","43,07","-3,19"
