"name","avg","count","winrate","winrate_wilson","sum","min","max","stddev"
,"1.00000000000000000000",50238,0.474004947025123,0.47233966179945,345258,1,1,"0"
"OG","1.00000000000000000000",4151,0.616769230769231,0.604884271490286,6500,1,1,"0"
"Team Secret","1.00000000000000000000",4013,0.600082884376295,0.586187116493829,4826,1,1,"0"
"Digital Chaos","1.00000000000000000000",3902,0.56437425029988,0.550588834921027,5002,1,1,"0"
"Effect","1.00000000000000000000",3500,0.543126359023919,0.527917370065563,4139,1,1,"0"
"LGD.Forever Young","1.00000000000000000000",3391,0.591885441527446,0.577625269217811,4609,1,1,"0"
"LGD-GAMING","1.00000000000000000000",3237,0.591935483870968,0.578191623610506,4960,1,1,"0"
"Mineski.亿鼎博","1.00000000000000000000",3223,0.604720439963336,0.59012857359805,4364,1,1,"0"
"Fnatic","1.00000000000000000000",3194,0.590899334621163,0.576711790763457,4659,1,1,"0"
"Vega Squadron","1.00000000000000000000",3172,0.531006838009903,0.515966056234466,4241,1,1,"0"
"Gambit Esports","1.00000000000000000000",2980,0.540954325082929,0.525319937394658,3919,1,1,"0"
"HellRaisers","1.00000000000000000000",2951,0.508794619762028,0.493034736099833,3866,1,1,"0"
"Vici Gaming","1.00000000000000000000",2897,0.599418040737148,0.584376470826342,4124,1,1,"0"
"Newbee","1.00000000000000000000",2881,0.583692669541356,0.570108156531866,5102,1,1,"0"
"OpTic Gaming","1.00000000000000000000",2824,0.603361766181636,0.5880821753356,3986,1,1,"0"
"Evil Geniuses","1.00000000000000000000",2658,0.600523244113504,0.586832035103814,4969,1,1,"0"
"VGJ Thunder","1.00000000000000000000",2415,0.536049143226641,0.518439905023733,3093,1,1,"0"
"Team Liquid","1.00000000000000000000",2345,0.640088866946433,0.625181929870202,4051,1,1,"0"
"Natus Vincere","1.00000000000000000000",2341,0.543333333333333,0.527023873578992,3600,1,1,"0"
"Virtus.pro","1.00000000000000000000",2266,0.612800726282342,0.598325018833416,4406,1,1,"0"
"Spartak Esports","1.00000000000000000000",2250,0.525143953934741,0.505944383258115,2605,1,1,"0"
"Team. Spirit","1.00000000000000000000",2214,0.549794498893456,0.532405987205145,3163,1,1,"0"
"Team Empire","1.00000000000000000000",2142,0.559950556242274,0.542786265046367,3236,1,1,"0"
"Sacred","1.00000000000000000000",2030,0.561878109452736,0.544666233546849,3216,1,1,"0"
"Invictus Gaming","1.00000000000000000000",2023,0.590019299696719,0.573925714719469,3627,1,1,"0"
"Eclipse","1.00000000000000000000",1972,0.543853342918764,0.525297061329154,2782,1,1,"0"
"SFTe-SPORTS","1.00000000000000000000",1939,0.52292728114868,0.501836297954448,2159,1,1,"0"
"EHOME","1.00000000000000000000",1892,0.551365409622887,0.533735823898406,3076,1,1,"0"
"Mid or Feed","1.00000000000000000000",1891,0.521412803532009,0.500821142199641,2265,1,1,"0"
"VGJ.Storm","1.00000000000000000000",1817,0.53158953722334,0.511936073740247,2485,1,1,"0"
"TNC Pro Team","1.00000000000000000000",1737,0.570077676460655,0.552166248662753,2961,1,1,"0"
"ForTheDream","1.00000000000000000000",1695,0.528662420382166,0.509112539302371,2512,1,1,"0"
"compLexity Gaming","1.00000000000000000000",1692,0.53551912568306,0.519332338222947,3660,1,1,"0"
"iG.Vitality","1.00000000000000000000",1636,0.527359529930224,0.508582008198669,2723,1,1,"0"
"Elements Pro Gaming","1.00000000000000000000",1573,0.494710640945862,0.470307204801309,1607,1,1,"0"
"M19","1.00000000000000000000",1522,0.546015712682379,0.522824724927255,1782,1,1,"0"
