,match_id,start_time,radiant_team_id,radiant_score,dire_team_id,dire_score,radiant_win,radiant_H1,radiant_H2,radiant_H3,radiant_H4,radiant_H5,dire_H1,dire_H2,dire_H3,dire_H4,dire_H5,radiant_P1,radiant_P2,radiant_P3,radiant_P4,radiant_P5,dire_P1,dire_P2,dire_P3,dire_P4,dire_P5,league_name
0,3780347464,1521023556,2108395,25,543897.0,10,True,86.0,88.0,72.0,77.0,16.0,60.0,103.0,54.0,26.0,39.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,84772440.0,100471531.0,89871557.0,91443418.0,113457795.0,SL i-League Invitational Season 4
1,3787689572,1521372947,39,16,5027210.0,8,True,54.0,45.0,47.0,86.0,119.0,78.0,87.0,89.0,109.0,57.0,86745912.0,111620041.0,87177591.0,87382579.0,25907144.0,137272985.0,114239371.0,182331313.0,108382060.0,139937922.0,GESC: Indonesia
2,3778740149,1520939289,5051765,35,5136509.0,9,True,3.0,16.0,54.0,43.0,57.0,90.0,30.0,99.0,95.0,49.0,86715129.0,7396553.0,122445696.0,110583422.0,86743641.0,54580962.0,41288955.0,101495620.0,56939869.0,152962063.0,World Electronic Sports Games International
3,3781860981,1521106820,3715574,26,4.0,28,True,19.0,119.0,94.0,103.0,43.0,11.0,41.0,13.0,16.0,110.0,87063175.0,85008179.0,86822085.0,105045291.0,85937380.0,255219872.0,108376607.0,118134220.0,135384059.0,111114687.0,World Electronic Sports Games International
4,3787477054,1521366006,5065748,21,5027210.0,48,False,49.0,100.0,57.0,87.0,95.0,43.0,30.0,19.0,48.0,107.0,28070572.0,157989498.0,97975407.0,229210222.0,185202677.0,137272985.0,114239371.0,139937922.0,108382060.0,182331313.0,GESC: Indonesia
5,3784907866,1521256261,4288603,23,5198700.0,33,False,47.0,39.0,109.0,100.0,30.0,76.0,19.0,15.0,51.0,87.0,136477860.0,92590479.0,101908305.0,110228930.0,116852311.0,118233883.0,101525357.0,126417273.0,275501116.0,121052479.0,World Electronic Sports Games International
6,3780150423,1521013662,2626685,45,3325406.0,20,True,16.0,30.0,41.0,72.0,78.0,51.0,13.0,3.0,92.0,58.0,142974425.0,158847773.0,135878232.0,254710104.0,397462905.0,88719902.0,141690233.0,92266340.0,86700461.0,99084280.0,World Electronic Sports Games International
7,3778675303,1520936523,4288603,35,5031582.0,17,True,94.0,29.0,72.0,60.0,87.0,64.0,46.0,13.0,100.0,19.0,101908305.0,92590479.0,136477860.0,110228930.0,116852311.0,101208242.0,100829013.0,104758571.0,58429537.0,81481903.0,World Electronic Sports Games International
8,3793374615,1521670875,5055770,32,5065748.0,27,True,103.0,16.0,87.0,54.0,17.0,19.0,89.0,64.0,33.0,8.0,349310876.0,298882097.0,94923783.0,164685175.0,153836240.0,28070572.0,155332459.0,229210222.0,119631156.0,196417470.0,SL i-League Invitational Season 4
9,3793269879,1521663569,5065748,25,5055770.0,40,False,11.0,107.0,16.0,66.0,80.0,103.0,65.0,30.0,72.0,106.0,28070572.0,155332459.0,119631156.0,229210222.0,196417470.0,349310876.0,298882097.0,94923783.0,164685175.0,153836240.0,SL i-League Invitational Season 4
