,dire_score,dire_team_id,match_id,radiant_score,radiant_team_id,radiant_win,start_time,radiant_H1,radiant_H2,radiant_H3,radiant_H4,radiant_H5,dire_H1,dire_H2,dire_H3,dire_H4,dire_H5,radiant_P1,radiant_P2,radiant_P3,radiant_P4,radiant_P5,dire_P1,dire_P2,dire_P3,dire_P4,dire_P5,league_name
0,25,5065748,3888578614,30,1838315,True,1526263448,62.0,77.0,90.0,28.0,72.0,47.0,101.0,16.0,112.0,93.0,87278757.0,97590558.0,89117038.0,86799300.0,116585378.0,28070572.0,155332459.0,97975407.0,99796146.0,185202677.0,MDL Changsha
1,45,5,3888582250,26,2586976,False,1526263511,68.0,38.0,107.0,52.0,41.0,3.0,23.0,104.0,91.0,72.0,94155156.0,88271237.0,26771994.0,41231571.0,19672354.0,140153524.0,129958758.0,156662698.0,207829314.0,130416036.0,MDL Changsha
2,21,543897,3888583323,10,2640025,False,1526263450,8.0,100.0,57.0,27.0,76.0,51.0,88.0,48.0,3.0,43.0,91369376.0,103940975.0,111291593.0,103039499.0,202217968.0,84772440.0,100471531.0,89871557.0,91443418.0,113457795.0,MDL Changsha
3,14,2640025,3888633383,34,543897,True,1526266245,29.0,51.0,72.0,3.0,49.0,10.0,52.0,108.0,88.0,30.0,84772440.0,100471531.0,89871557.0,91443418.0,113457795.0,91369376.0,202217968.0,111291593.0,103940975.0,103039499.0,MDL Changsha
4,20,1838315,3888646761,3,5065748,False,1526267029,43.0,100.0,65.0,3.0,114.0,64.0,77.0,7.0,69.0,63.0,28070572.0,155332459.0,97975407.0,99796146.0,185202677.0,87278757.0,97590558.0,89117038.0,86799300.0,116585378.0,MDL Changsha
5,39,5,3888666303,22,2586976,False,1526268147,30.0,102.0,91.0,52.0,93.0,37.0,72.0,38.0,101.0,106.0,94155156.0,88271237.0,26771994.0,41231571.0,19672354.0,140153524.0,129958758.0,156662698.0,207829314.0,130416036.0,MDL Changsha
6,30,15,3888710999,11,2006913,False,1526270232,64.0,47.0,55.0,107.0,48.0,72.0,17.0,111.0,100.0,69.0,91460772.0,113372833.0,234699894.0,111030315.0,116881520.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,MDL Changsha
7,26,2108395,3888711624,26,1375614,False,1526270540,69.0,25.0,87.0,15.0,100.0,64.0,60.0,39.0,54.0,40.0,87012746.0,149486894.0,82327674.0,117281554.0,139876032.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,MDL Changsha
8,35,726228,3888767050,14,5228654,False,1526272935,52.0,17.0,38.0,43.0,111.0,93.0,51.0,37.0,23.0,78.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,137193239.0,89423756.0,113800818.0,107803494.0,134276083.0,MDL Changsha
9,18,2006913,3888781364,31,15,True,1526273421,93.0,45.0,75.0,101.0,2.0,111.0,32.0,52.0,38.0,42.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,91460772.0,111030315.0,113372833.0,234699894.0,116881520.0,MDL Changsha
10,37,1375614,3888816314,18,2108395,False,1526274957,21.0,64.0,39.0,12.0,88.0,72.0,27.0,23.0,91.0,16.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,117281554.0,82327674.0,149486894.0,139876032.0,87012746.0,MDL Changsha
11,47,726228,3888855626,40,5228654,False,1526276988,52.0,95.0,38.0,15.0,87.0,43.0,51.0,3.0,23.0,77.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,137193239.0,89423756.0,113800818.0,107803494.0,134276083.0,MDL Changsha
12,37,2586976,3888874291,25,2640025,False,1526277799,114.0,17.0,38.0,101.0,30.0,87.0,72.0,91.0,108.0,49.0,91369376.0,202217968.0,111291593.0,103940975.0,103039499.0,94155156.0,88271237.0,26771994.0,41231571.0,19672354.0,MDL Changsha
13,32,5,3888897233,10,5065748,False,1526278826,13.0,64.0,60.0,68.0,41.0,52.0,49.0,55.0,16.0,54.0,28070572.0,155332459.0,97975407.0,99796146.0,185202677.0,140153524.0,129958758.0,156662698.0,207829314.0,130416036.0,MDL Changsha
14,20,2640025,3888974246,28,2586976,True,1526281990,26.0,106.0,51.0,78.0,80.0,48.0,25.0,29.0,100.0,68.0,94155156.0,88271237.0,26771994.0,41231571.0,19672354.0,91369376.0,202217968.0,111291593.0,103940975.0,103039499.0,MDL Changsha
15,36,5,3888981415,14,5065748,False,1526282134,15.0,52.0,38.0,111.0,48.0,37.0,25.0,60.0,101.0,49.0,28070572.0,155332459.0,97975407.0,99796146.0,185202677.0,140153524.0,129958758.0,156662698.0,207829314.0,130416036.0,MDL Changsha
16,31,1838315,3889008004,26,543897,False,1526283291,51.0,89.0,72.0,20.0,43.0,64.0,48.0,100.0,69.0,47.0,84772440.0,100471531.0,89871557.0,91443418.0,113457795.0,87278757.0,97590558.0,89117038.0,86799300.0,116585378.0,MDL Changsha
17,33,2108395,3889067271,17,726228,False,1526285701,12.0,60.0,50.0,52.0,65.0,101.0,89.0,49.0,77.0,2.0,137193239.0,89423756.0,113800818.0,107803494.0,134276083.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,MDL Changsha
18,19,2006913,3889095712,30,5228654,True,1526286519,51.0,47.0,53.0,10.0,37.0,86.0,13.0,69.0,101.0,95.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,91460772.0,113372833.0,234699894.0,111030315.0,116881520.0,MDL Changsha
19,49,1838315,3889125363,41,543897,True,1526288028,29.0,82.0,88.0,30.0,72.0,53.0,54.0,60.0,2.0,47.0,84772440.0,100471531.0,89871557.0,91443418.0,113457795.0,87278757.0,97590558.0,89117038.0,86799300.0,116585378.0,MDL Changsha
20,41,726228,3889172765,11,2108395,False,1526289445,87.0,100.0,17.0,10.0,29.0,12.0,103.0,3.0,13.0,69.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,137193239.0,89423756.0,113800818.0,107803494.0,134276083.0,MDL Changsha
21,18,2006913,3889219951,40,5228654,True,1526291082,71.0,47.0,2.0,109.0,37.0,30.0,64.0,38.0,7.0,54.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,91460772.0,113372833.0,234699894.0,111030315.0,116881520.0,MDL Changsha
22,23,1375614,3889299301,32,15,True,1526293839,72.0,23.0,3.0,71.0,43.0,41.0,76.0,16.0,68.0,60.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,117281554.0,149486894.0,139876032.0,82327674.0,87012746.0,MDL Changsha
23,34,1838315,3889323628,19,2586976,False,1526294713,31.0,43.0,16.0,96.0,12.0,87.0,51.0,80.0,78.0,98.0,94155156.0,88271237.0,26771994.0,41231571.0,19672354.0,87278757.0,89117038.0,97590558.0,86799300.0,116585378.0,MDL Changsha
24,9,5065748,3889358128,25,543897,True,1526295812,97.0,89.0,95.0,87.0,43.0,11.0,51.0,69.0,3.0,15.0,84772440.0,100471531.0,89871557.0,91443418.0,113457795.0,28070572.0,175105750.0,97975407.0,99796146.0,185202677.0,MDL Changsha
25,30,15,3889421559,9,1375614,False,1526297735,101.0,27.0,94.0,40.0,16.0,12.0,39.0,66.0,86.0,2.0,139876032.0,82327674.0,149486894.0,117281554.0,87012746.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,MDL Changsha
26,19,2586976,3889445646,39,1838315,True,1526298401,87.0,100.0,67.0,102.0,23.0,37.0,95.0,51.0,33.0,80.0,87278757.0,89117038.0,97590558.0,86799300.0,116585378.0,94155156.0,88271237.0,26771994.0,41231571.0,19672354.0,MDL Changsha
27,37,543897,3889448283,21,5065748,False,1526298696,47.0,51.0,52.0,37.0,1.0,2.0,101.0,77.0,87.0,106.0,28070572.0,97975407.0,175105750.0,99796146.0,185202677.0,84772440.0,100471531.0,89871557.0,91443418.0,113457795.0,MDL Changsha
28,52,5,3889571850,17,2640025,False,1526301595,8.0,52.0,57.0,100.0,30.0,101.0,23.0,21.0,16.0,41.0,91369376.0,202217968.0,111291593.0,103940975.0,103039499.0,140153524.0,129958758.0,156662698.0,207829314.0,130416036.0,MDL Changsha
29,17,5,3889772161,32,2640025,True,1526306079,15.0,30.0,38.0,74.0,101.0,111.0,23.0,29.0,51.0,52.0,91369376.0,103039499.0,111291593.0,202217968.0,103940975.0,140153524.0,129958758.0,156662698.0,207829314.0,130416036.0,MDL Changsha
30,46,5228654,3890827984,41,2108395,True,1526349580,68.0,91.0,49.0,72.0,2.0,100.0,46.0,69.0,54.0,112.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,MDL Changsha
31,10,2006913,3890836890,30,1375614,True,1526349778,69.0,27.0,23.0,93.0,100.0,52.0,25.0,60.0,66.0,42.0,87012746.0,82327674.0,149486894.0,117281554.0,139876032.0,91460772.0,113372833.0,234699894.0,111030315.0,116881520.0,MDL Changsha
32,32,726228,3890837233,24,15,False,1526350012,81.0,43.0,62.0,21.0,69.0,4.0,60.0,37.0,49.0,77.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,137193239.0,89423756.0,113800818.0,107803494.0,134276083.0,MDL Changsha
33,47,1375614,3890889267,16,2006913,False,1526352889,101.0,49.0,2.0,62.0,41.0,60.0,43.0,93.0,37.0,21.0,91460772.0,113372833.0,234699894.0,111030315.0,116881520.0,139876032.0,149486894.0,117281554.0,82327674.0,87012746.0,MDL Changsha
34,41,15,3890907673,60,726228,True,1526354017,43.0,69.0,87.0,23.0,29.0,95.0,15.0,27.0,91.0,60.0,137193239.0,134276083.0,113800818.0,107803494.0,89423756.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,MDL Changsha
35,24,2108395,3890914266,26,5228654,True,1526354350,91.0,48.0,60.0,76.0,64.0,21.0,89.0,23.0,72.0,16.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,MDL Changsha
36,16,5,3890976184,24,1838315,True,1526357489,40.0,23.0,77.0,97.0,76.0,87.0,72.0,108.0,60.0,106.0,87278757.0,89117038.0,97590558.0,86799300.0,116585378.0,140153524.0,129958758.0,156662698.0,207829314.0,130416036.0,MDL Changsha
37,25,2640025,3891013861,6,5065748,False,1526359105,98.0,88.0,16.0,64.0,54.0,49.0,109.0,57.0,52.0,30.0,28070572.0,175105750.0,97975407.0,99796146.0,185202677.0,202217968.0,91369376.0,111291593.0,103940975.0,103039499.0,MDL Changsha
38,8,543897,3891024973,30,2586976,True,1526359806,64.0,93.0,51.0,108.0,23.0,89.0,53.0,95.0,20.0,25.0,94155156.0,88271237.0,26771994.0,41231571.0,19672354.0,84772440.0,100471531.0,89871557.0,91443418.0,113457795.0,MDL Changsha
39,34,1838315,3891064693,50,5,True,1526361344,3.0,49.0,55.0,16.0,72.0,53.0,94.0,100.0,69.0,106.0,140153524.0,129958758.0,156662698.0,207829314.0,130416036.0,87278757.0,97590558.0,89117038.0,86799300.0,116585378.0,MDL Changsha
40,21,5065748,3891085673,34,2640025,True,1526362181,74.0,41.0,108.0,60.0,30.0,77.0,52.0,78.0,26.0,93.0,202217968.0,91369376.0,111291593.0,103940975.0,103039499.0,28070572.0,175105750.0,97975407.0,99796146.0,185202677.0,MDL Changsha
41,45,2586976,3891117294,38,543897,False,1526363888,98.0,89.0,48.0,87.0,57.0,26.0,15.0,91.0,78.0,23.0,84772440.0,100471531.0,89871557.0,91443418.0,113457795.0,94155156.0,88271237.0,26771994.0,41231571.0,19672354.0,MDL Changsha
42,40,726228,3891154355,10,2006913,False,1526365417,52.0,23.0,38.0,100.0,48.0,10.0,60.0,3.0,106.0,57.0,91460772.0,113372833.0,234699894.0,111030315.0,116881520.0,137193239.0,89423756.0,113800818.0,107803494.0,134276083.0,MDL Changsha
43,11,1375614,3891198578,23,5228654,True,1526367064,51.0,72.0,57.0,49.0,90.0,13.0,64.0,106.0,89.0,54.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,87012746.0,82327674.0,149486894.0,139876032.0,117281554.0,MDL Changsha
44,32,2006913,3891216019,50,726228,True,1526367922,40.0,29.0,111.0,43.0,104.0,68.0,45.0,60.0,107.0,15.0,137193239.0,89423756.0,113800818.0,107803494.0,134276083.0,91460772.0,113372833.0,234699894.0,111030315.0,116881520.0,MDL Changsha
45,33,2108395,3891255300,10,15,False,1526369535,93.0,52.0,71.0,101.0,2.0,3.0,103.0,49.0,77.0,60.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,MDL Changsha
46,34,1375614,3891287696,24,5228654,False,1526370650,53.0,61.0,23.0,10.0,37.0,43.0,64.0,26.0,77.0,69.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,87012746.0,149486894.0,82327674.0,117281554.0,139876032.0,MDL Changsha
47,40,2586976,3891341830,17,5065748,False,1526372951,17.0,62.0,12.0,3.0,69.0,30.0,106.0,51.0,49.0,23.0,28070572.0,175105750.0,185202677.0,99796146.0,97975407.0,94155156.0,88271237.0,26771994.0,41231571.0,19672354.0,MDL Changsha
48,41,15,3891349796,31,2108395,False,1526373028,26.0,103.0,15.0,80.0,38.0,72.0,106.0,3.0,51.0,78.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,MDL Changsha
49,20,2640025,3891386864,43,1838315,True,1526374629,87.0,100.0,18.0,69.0,15.0,12.0,49.0,60.0,88.0,68.0,87278757.0,89117038.0,97590558.0,86799300.0,116585378.0,91369376.0,202217968.0,111291593.0,103940975.0,103039499.0,MDL Changsha
50,34,2586976,3891428412,33,5065748,False,1526376114,106.0,107.0,2.0,30.0,72.0,112.0,8.0,100.0,108.0,23.0,28070572.0,175105750.0,97975407.0,99796146.0,185202677.0,94155156.0,88271237.0,26771994.0,41231571.0,19672354.0,MDL Changsha
51,22,726228,3891483725,11,1375614,False,1526378448,26.0,52.0,72.0,86.0,78.0,93.0,101.0,37.0,49.0,89.0,139876032.0,149486894.0,117281554.0,82327674.0,87012746.0,137193239.0,89423756.0,113800818.0,107803494.0,134276083.0,MDL Changsha
52,47,1838315,3891494975,27,2640025,False,1526378382,21.0,2.0,89.0,60.0,68.0,64.0,100.0,77.0,69.0,46.0,202217968.0,111291593.0,91369376.0,103940975.0,103039499.0,87278757.0,89117038.0,97590558.0,86799300.0,116585378.0,MDL Changsha
53,36,2108395,3891541020,26,2006913,False,1526380396,68.0,79.0,102.0,16.0,93.0,21.0,64.0,17.0,48.0,88.0,91460772.0,113372833.0,234699894.0,111030315.0,116881520.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,MDL Changsha
54,39,1375614,3891589237,22,726228,False,1526381742,43.0,29.0,88.0,23.0,87.0,72.0,49.0,27.0,51.0,91.0,137193239.0,89423756.0,134276083.0,107803494.0,113800818.0,117281554.0,149486894.0,82327674.0,87012746.0,139876032.0,MDL Changsha
55,28,5228654,3891640110,9,15,False,1526383240,72.0,17.0,27.0,100.0,69.0,51.0,48.0,108.0,43.0,3.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,MDL Changsha
56,7,2006913,3891663985,26,2108395,True,1526383958,101.0,51.0,76.0,77.0,57.0,68.0,95.0,108.0,7.0,40.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,91460772.0,113372833.0,234699894.0,111030315.0,116881520.0,MDL Changsha
57,20,15,3891750360,47,5228654,True,1526386366,100.0,72.0,104.0,43.0,37.0,8.0,23.0,62.0,101.0,2.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,MDL Changsha
58,16,5,3891767458,26,543897,True,1526386834,102.0,53.0,72.0,26.0,49.0,3.0,93.0,38.0,91.0,15.0,84772440.0,100471531.0,89871557.0,91443418.0,113457795.0,140153524.0,129958758.0,156662698.0,207829314.0,130416036.0,MDL Changsha
59,29,543897,3891925312,15,5,False,1526390670,30.0,25.0,38.0,91.0,48.0,80.0,72.0,88.0,79.0,13.0,140153524.0,129958758.0,156662698.0,207829314.0,130416036.0,84772440.0,89871557.0,100471531.0,91443418.0,113457795.0,MDL Changsha
60,8,2586976,3893059114,30,5228654,True,1526436416,51.0,10.0,108.0,106.0,3.0,53.0,17.0,100.0,52.0,6.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,94155156.0,88271237.0,26771994.0,41231571.0,19672354.0,MDL Changsha
61,38,5228654,3893117690,14,2586976,False,1526439711,26.0,15.0,89.0,108.0,34.0,100.0,94.0,69.0,72.0,87.0,94155156.0,88271237.0,26771994.0,41231571.0,19672354.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,MDL Changsha
62,4,2108395,3893222060,26,543897,True,1526445273,69.0,91.0,72.0,3.0,98.0,112.0,101.0,49.0,10.0,2.0,84772440.0,100471531.0,89871557.0,91443418.0,113457795.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,MDL Changsha
63,24,2108395,3893314987,34,543897,True,1526448956,108.0,51.0,54.0,3.0,34.0,53.0,89.0,72.0,15.0,102.0,84772440.0,100471531.0,89871557.0,91443418.0,113457795.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,MDL Changsha
64,25,1838315,3893448698,11,5228654,False,1526454843,51.0,11.0,38.0,43.0,64.0,60.0,94.0,86.0,69.0,106.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,87278757.0,97590558.0,89117038.0,86799300.0,116585378.0,MDL Changsha
65,13,1838315,3893538521,32,5228654,True,1526458262,91.0,93.0,69.0,43.0,112.0,64.0,51.0,67.0,97.0,47.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,87278757.0,89117038.0,97590558.0,86799300.0,116585378.0,MDL Changsha
66,30,1838315,3893641241,29,5228654,True,1526462129,100.0,49.0,2.0,43.0,90.0,71.0,52.0,77.0,13.0,23.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,87278757.0,89117038.0,97590558.0,86799300.0,116585378.0,MDL Changsha
67,34,5,3897647670,34,1375614,True,1526621762,100.0,23.0,77.0,27.0,43.0,68.0,49.0,55.0,16.0,54.0,139876032.0,149486894.0,117281554.0,82327674.0,87012746.0,140153524.0,129958758.0,156662698.0,207829314.0,130416036.0,MDL Changsha
68,31,2640025,3897828395,38,15,True,1526629671,15.0,17.0,3.0,23.0,77.0,89.0,25.0,29.0,51.0,68.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,91369376.0,202217968.0,111291593.0,103940975.0,103039499.0,MDL Changsha
69,33,1375614,3898052688,19,2586976,False,1526637585,87.0,67.0,51.0,49.0,78.0,16.0,52.0,37.0,93.0,69.0,94155156.0,88271237.0,26771994.0,41231571.0,19672354.0,139876032.0,149486894.0,82327674.0,117281554.0,87012746.0,MDL Changsha
70,22,2586976,3898179475,26,1375614,True,1526641717,87.0,77.0,16.0,12.0,40.0,106.0,112.0,60.0,65.0,18.0,82327674.0,149486894.0,139876032.0,117281554.0,87012746.0,88271237.0,94155156.0,26771994.0,41231571.0,19672354.0,MDL Changsha
71,6,2108395,3898369901,31,15,True,1526646972,54.0,43.0,3.0,23.0,57.0,101.0,103.0,76.0,77.0,108.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,MDL Changsha
72,51,15,3898537635,50,2108395,True,1526650791,87.0,89.0,39.0,57.0,65.0,15.0,34.0,62.0,26.0,77.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,MDL Changsha
73,14,2108395,3898771485,34,15,True,1526656426,72.0,47.0,64.0,89.0,78.0,3.0,80.0,51.0,65.0,11.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,184950344.0,132309493.0,155494381.0,187619311.0,164532005.0,MDL Changsha
74,28,1375614,3899640601,20,543897,False,1526695914,77.0,82.0,3.0,89.0,72.0,60.0,106.0,12.0,26.0,91.0,84772440.0,100471531.0,89871557.0,91443418.0,113457795.0,87012746.0,149486894.0,117281554.0,82327674.0,139876032.0,MDL Changsha
75,29,1375614,3899726029,10,543897,False,1526699885,80.0,72.0,26.0,51.0,49.0,43.0,76.0,60.0,87.0,57.0,84772440.0,89871557.0,91443418.0,100471531.0,113457795.0,117281554.0,149486894.0,139876032.0,82327674.0,87012746.0,MDL Changsha
76,29,15,3899867571,17,1838315,False,1526706074,79.0,23.0,48.0,13.0,64.0,12.0,43.0,111.0,51.0,78.0,87278757.0,89117038.0,97590558.0,86799300.0,116585378.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,MDL Changsha
77,18,1838315,3899984103,26,15,True,1526710482,72.0,76.0,30.0,91.0,51.0,37.0,10.0,16.0,69.0,23.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,87278757.0,97590558.0,89117038.0,86799300.0,116585378.0,MDL Changsha
78,10,1375614,3900169897,31,15,True,1526716717,72.0,49.0,87.0,51.0,15.0,89.0,12.0,64.0,54.0,40.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,139876032.0,149486894.0,82327674.0,117281554.0,87012746.0,MDL Changsha
79,31,15,3900280991,39,1375614,False,1526720258,22.0,78.0,16.0,87.0,48.0,109.0,23.0,64.0,89.0,104.0,149486894.0,87012746.0,139876032.0,82327674.0,117281554.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,MDL Changsha
80,13,726228,3900489066,30,5228654,True,1526726508,60.0,94.0,33.0,72.0,87.0,8.0,29.0,3.0,106.0,69.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,137193239.0,89423756.0,113800818.0,107803494.0,134276083.0,MDL Changsha
81,32,5228654,3900655955,18,726228,False,1526731116,29.0,15.0,17.0,87.0,89.0,51.0,48.0,60.0,72.0,64.0,89423756.0,137193239.0,107803494.0,113800818.0,134276083.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,MDL Changsha
82,22,726228,3902374443,33,15,True,1526793397,114.0,43.0,64.0,89.0,65.0,48.0,103.0,37.0,13.0,104.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,137193239.0,89423756.0,113800818.0,107803494.0,134276083.0,MDL Changsha
83,31,15,3902498542,12,726228,False,1526798171,86.0,10.0,7.0,23.0,77.0,12.0,39.0,3.0,100.0,57.0,113800818.0,137193239.0,89423756.0,107803494.0,134276083.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,MDL Changsha
84,32,15,3902849890,15,5228654,False,1526808377,100.0,92.0,33.0,72.0,90.0,67.0,43.0,64.0,89.0,88.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,MDL Changsha
