,dire_score,dire_team_id,match_id,radiant_score,radiant_team_id,radiant_win,start_time,radiant_H1,radiant_H2,radiant_H3,radiant_H4,radiant_H5,dire_H1,dire_H2,dire_H3,dire_H4,dire_H5,radiant_P1,radiant_P2,radiant_P3,radiant_P4,radiant_P5,dire_P1,dire_P2,dire_P3,dire_P4,dire_P5,league_name
0,29,4993511.0,3822082340,19,5241980.0,False,1523163980,70.0,39.0,64.0,16.0,89.0,88.0,100.0,68.0,41.0,92.0,99573176.0,109469423.0,121629136.0,115399224.0,105338676.0,381798403.0,115106525.0,89335663.0,100781036.0,156068689.0,GESC: Thailand
1,39,4993511.0,3822153999,12,5241980.0,False,1523167433,49.0,25.0,87.0,102.0,53.0,13.0,119.0,95.0,89.0,47.0,99573176.0,109469423.0,121629136.0,115399224.0,105338676.0,381798403.0,89335663.0,100781036.0,115106525.0,156068689.0,GESC: Thailand
2,38,4993511.0,3822304009,29,5234564.0,True,1523174286,119.0,38.0,82.0,48.0,100.0,55.0,16.0,68.0,54.0,47.0,107578266.0,91048330.0,282359850.0,145888771.0,101460882.0,381798403.0,115106525.0,89335663.0,100781036.0,156068689.0,GESC: Thailand
3,19,4993511.0,3822412089,28,5234564.0,True,1523178647,68.0,95.0,49.0,100.0,69.0,63.0,64.0,57.0,120.0,43.0,107578266.0,145888771.0,282359850.0,101460882.0,91048330.0,381798403.0,89335663.0,100781036.0,115106525.0,156068689.0,GESC: Thailand
4,15,5158586.0,3822580779,32,5030979.0,True,1523185509,16.0,13.0,102.0,8.0,86.0,68.0,108.0,89.0,40.0,35.0,85485252.0,112552914.0,184138153.0,432131719.0,101240880.0,135584110.0,134112654.0,415143836.0,210697245.0,104121929.0,GESC: Thailand
5,32,5030979.0,3822690978,11,5158586.0,False,1523189265,30.0,108.0,103.0,113.0,47.0,86.0,13.0,89.0,54.0,68.0,135584110.0,134112654.0,415143836.0,210697245.0,104121929.0,85485252.0,112552914.0,184138153.0,432131719.0,101240880.0,GESC: Thailand
6,15,5138601.0,3822895336,25,5030979.0,True,1523195885,86.0,92.0,108.0,8.0,3.0,119.0,30.0,48.0,120.0,25.0,85485252.0,112552914.0,184138153.0,432131719.0,101240880.0,100560596.0,127204374.0,307138331.0,168089239.0,101239422.0,GESC: Thailand
7,37,5030979.0,3823008429,25,5138601.0,False,1523199257,89.0,26.0,8.0,120.0,17.0,86.0,49.0,2.0,114.0,51.0,100560596.0,127204374.0,307138331.0,168089239.0,101239422.0,85485252.0,112552914.0,184138153.0,432131719.0,101240880.0,GESC: Thailand
8,31,5229127.0,3828770018,25,5027210.0,False,1523525597,76.0,26.0,69.0,19.0,119.0,83.0,86.0,25.0,102.0,72.0,137272985.0,114239371.0,139937922.0,108382060.0,182331313.0,93552791.0,91064780.0,250114507.0,130801103.0,89269794.0,StarLadder ImbaTV Invitational Season 5
9,12,5229127.0,3828974488,34,5027210.0,True,1523534283,19.0,109.0,26.0,29.0,53.0,16.0,102.0,22.0,86.0,42.0,137272985.0,108382060.0,114239371.0,139937922.0,182331313.0,93552791.0,130801103.0,250114507.0,91064780.0,89269794.0,StarLadder ImbaTV Invitational Season 5
10,29,5026801.0,3829119614,10,5039050.0,False,1523539475,87.0,103.0,49.0,12.0,69.0,15.0,100.0,109.0,108.0,86.0,57516313.0,26356855.0,121769650.0,62533910.0,92367063.0,221666230.0,73562326.0,87285329.0,86698277.0,86727555.0,StarLadder ImbaTV Invitational Season 5
11,30,5039050.0,3829231416,24,5026801.0,False,1523543272,47.0,26.0,95.0,49.0,62.0,3.0,86.0,43.0,54.0,16.0,221666230.0,73562326.0,87285329.0,86698277.0,86727555.0,57516313.0,26356855.0,121769650.0,62533910.0,92367063.0,StarLadder ImbaTV Invitational Season 5
12,11,5039050.0,3829376689,26,5026801.0,True,1523548482,25.0,107.0,43.0,49.0,68.0,3.0,86.0,11.0,72.0,57.0,221666230.0,73562326.0,87285329.0,86698277.0,86727555.0,57516313.0,26356855.0,121769650.0,62533910.0,92367063.0,StarLadder ImbaTV Invitational Season 5
13,15,5027210.0,3829506426,24,5026801.0,True,1523553459,15.0,90.0,16.0,61.0,68.0,74.0,30.0,88.0,43.0,100.0,221666230.0,73562326.0,87285329.0,86698277.0,86727555.0,137272985.0,114239371.0,139937922.0,108382060.0,182331313.0,StarLadder ImbaTV Invitational Season 5
14,14,5027210.0,3829564146,22,5026801.0,True,1523556827,13.0,86.0,48.0,38.0,68.0,46.0,30.0,16.0,43.0,23.0,221666230.0,73562326.0,87285329.0,86698277.0,86727555.0,137272985.0,114239371.0,139937922.0,108382060.0,182331313.0,StarLadder ImbaTV Invitational Season 5
15,37,36.0,3830307665,38,350190.0,False,1523610278,109.0,23.0,89.0,119.0,57.0,103.0,54.0,25.0,87.0,38.0,43276219.0,154715080.0,111034589.0,102099826.0,87276347.0,106809101.0,114619230.0,70388657.0,35504297.0,89550641.0,StarLadder ImbaTV Invitational Season 5
16,14,36.0,3830446119,39,350190.0,True,1523617293,109.0,17.0,87.0,89.0,69.0,120.0,49.0,34.0,68.0,53.0,43276219.0,154715080.0,102099826.0,111034589.0,87276347.0,106809101.0,114619230.0,70388657.0,35504297.0,89550641.0,StarLadder ImbaTV Invitational Season 5
17,29,36.0,3830552431,33,350190.0,True,1523621959,94.0,13.0,87.0,89.0,120.0,100.0,49.0,47.0,119.0,52.0,43276219.0,154715080.0,102099826.0,111034589.0,87276347.0,106809101.0,114619230.0,70388657.0,35504297.0,89550641.0,StarLadder ImbaTV Invitational Season 5
18,30,3715574.0,3830762107,22,2006913.0,False,1523629010,86.0,52.0,102.0,107.0,80.0,114.0,5.0,119.0,25.0,96.0,91460772.0,113372833.0,234699894.0,111030315.0,116881520.0,86822085.0,37658157.0,105045291.0,85937380.0,87063175.0,StarLadder ImbaTV Invitational Season 5
19,35,2006913.0,3830902400,10,3715574.0,False,1523633755,47.0,30.0,95.0,16.0,69.0,86.0,60.0,19.0,83.0,109.0,85937380.0,37658157.0,86822085.0,105045291.0,87063175.0,91460772.0,234699894.0,113372833.0,111030315.0,116881520.0,StarLadder ImbaTV Invitational Season 5
20,28,2006913.0,3831006834,27,3715574.0,False,1523637058,3.0,98.0,100.0,49.0,108.0,86.0,19.0,60.0,66.0,95.0,37658157.0,85937380.0,105045291.0,86822085.0,87063175.0,91460772.0,113372833.0,234699894.0,111030315.0,116881520.0,StarLadder ImbaTV Invitational Season 5
21,25,2006913.0,3831145338,26,350190.0,False,1523642958,43.0,61.0,100.0,26.0,120.0,79.0,64.0,53.0,119.0,109.0,43276219.0,154715080.0,111034589.0,102099826.0,87276347.0,91460772.0,113372833.0,234699894.0,111030315.0,116881520.0,StarLadder ImbaTV Invitational Season 5
22,27,2006913.0,3831243271,24,350190.0,False,1523647380,43.0,25.0,83.0,86.0,41.0,68.0,64.0,108.0,88.0,54.0,43276219.0,154715080.0,111034589.0,102099826.0,87276347.0,91460772.0,113372833.0,234699894.0,111030315.0,116881520.0,StarLadder ImbaTV Invitational Season 5
23,27,5039050.0,3831900465,40,5229127.0,True,1523689506,100.0,60.0,76.0,68.0,41.0,87.0,86.0,92.0,54.0,16.0,93552791.0,130801103.0,250114507.0,91064780.0,89269794.0,57516313.0,26356855.0,121769650.0,62533910.0,92367063.0,StarLadder ImbaTV Invitational Season 5
24,40,5229127.0,3832128441,22,5039050.0,False,1523698571,68.0,26.0,43.0,54.0,108.0,100.0,30.0,11.0,60.0,109.0,57516313.0,26356855.0,121769650.0,62533910.0,92367063.0,93552791.0,91064780.0,250114507.0,130801103.0,89269794.0,StarLadder ImbaTV Invitational Season 5
25,27,36.0,3832266067,2,3715574.0,False,1523704134,5.0,88.0,94.0,15.0,41.0,100.0,81.0,11.0,119.0,51.0,37658157.0,105045291.0,85937380.0,87063175.0,86822085.0,106809101.0,114619230.0,70388657.0,35504297.0,89550641.0,StarLadder ImbaTV Invitational Season 5
26,7,3715574.0,3832355063,28,36.0,True,1523707209,20.0,72.0,13.0,30.0,28.0,3.0,100.0,92.0,96.0,109.0,106809101.0,114619230.0,70388657.0,35504297.0,89550641.0,37658157.0,105045291.0,85937380.0,87063175.0,86822085.0,StarLadder ImbaTV Invitational Season 5
27,37,5229127.0,3832546445,36,5027210.0,True,1523713350,72.0,30.0,49.0,25.0,23.0,103.0,51.0,11.0,86.0,19.0,137272985.0,114239371.0,139937922.0,108382060.0,182331313.0,93552791.0,130801103.0,250114507.0,91064780.0,89269794.0,StarLadder ImbaTV Invitational Season 5
28,23,5229127.0,3832724862,34,5027210.0,True,1523718745,19.0,26.0,13.0,94.0,119.0,100.0,69.0,76.0,30.0,72.0,137272985.0,114239371.0,139937922.0,108382060.0,182331313.0,93552791.0,130801103.0,250114507.0,91064780.0,89269794.0,StarLadder ImbaTV Invitational Season 5
29,42,350190.0,3832863060,21,36.0,False,1523723445,87.0,54.0,11.0,100.0,108.0,15.0,76.0,107.0,119.0,41.0,106809101.0,114619230.0,70388657.0,35504297.0,89550641.0,43276219.0,154715080.0,111034589.0,102099826.0,87276347.0,StarLadder ImbaTV Invitational Season 5
30,22,36.0,3832989883,5,350190.0,False,1523728513,8.0,49.0,100.0,68.0,96.0,28.0,48.0,39.0,119.0,108.0,43276219.0,154715080.0,111034589.0,102099826.0,87276347.0,106809101.0,114619230.0,70388657.0,35504297.0,89550641.0,StarLadder ImbaTV Invitational Season 5
31,25,350190.0,3833080676,15,36.0,False,1523731787,20.0,44.0,13.0,30.0,28.0,80.0,92.0,100.0,37.0,38.0,106809101.0,114619230.0,70388657.0,35504297.0,89550641.0,43276219.0,154715080.0,111034589.0,102099826.0,87276347.0,StarLadder ImbaTV Invitational Season 5
32,11,2006913.0,3834007564,25,5027210.0,True,1523783269,12.0,26.0,77.0,100.0,108.0,119.0,13.0,53.0,83.0,72.0,137272985.0,114239371.0,108382060.0,182331313.0,139937922.0,91460772.0,113372833.0,234699894.0,111030315.0,116881520.0,StarLadder ImbaTV Invitational Season 5
33,38,5027210.0,3834092818,18,2006913.0,False,1523786593,68.0,47.0,108.0,88.0,109.0,8.0,43.0,87.0,97.0,23.0,91460772.0,113372833.0,234699894.0,111030315.0,116881520.0,137272985.0,108382060.0,114239371.0,139937922.0,182331313.0,StarLadder ImbaTV Invitational Season 5
34,16,5026801.0,3834233074,32,350190.0,True,1523791993,109.0,46.0,89.0,30.0,120.0,49.0,103.0,10.0,13.0,86.0,43276219.0,154715080.0,111034589.0,102099826.0,87276347.0,221666230.0,73562326.0,87285329.0,86698277.0,86727555.0,StarLadder ImbaTV Invitational Season 5
35,14,350190.0,3834408289,21,5026801.0,True,1523797786,43.0,100.0,12.0,15.0,50.0,63.0,11.0,89.0,20.0,38.0,221666230.0,73562326.0,87285329.0,86698277.0,86727555.0,43276219.0,154715080.0,111034589.0,102099826.0,87276347.0,StarLadder ImbaTV Invitational Season 5
36,18,5026801.0,3834511370,9,350190.0,False,1523801431,54.0,23.0,89.0,68.0,120.0,25.0,90.0,72.0,38.0,86.0,43276219.0,154715080.0,111034589.0,102099826.0,87276347.0,221666230.0,73562326.0,87285329.0,86698277.0,86727555.0,StarLadder ImbaTV Invitational Season 5
37,34,5026801.0,3834655304,27,5027210.0,True,1523806492,15.0,26.0,55.0,109.0,60.0,11.0,7.0,40.0,108.0,86.0,137272985.0,114239371.0,139937922.0,108382060.0,182331313.0,221666230.0,73562326.0,87285329.0,86698277.0,86727555.0,StarLadder ImbaTV Invitational Season 5
38,27,5027210.0,3834797908,24,5026801.0,True,1523812120,15.0,100.0,41.0,92.0,30.0,43.0,63.0,26.0,65.0,7.0,221666230.0,73562326.0,87285329.0,86698277.0,86727555.0,137272985.0,108382060.0,114239371.0,139937922.0,182331313.0,StarLadder ImbaTV Invitational Season 5
39,21,5026801.0,3834893237,14,5027210.0,False,1523816287,13.0,26.0,102.0,43.0,7.0,49.0,90.0,95.0,61.0,100.0,137272985.0,114239371.0,139937922.0,108382060.0,182331313.0,221666230.0,73562326.0,87285329.0,86698277.0,86727555.0,StarLadder ImbaTV Invitational Season 5
40,25,5027210.0,3834963072,26,5026801.0,True,1523819767,15.0,100.0,12.0,16.0,64.0,19.0,87.0,45.0,35.0,53.0,221666230.0,73562326.0,87285329.0,86698277.0,86727555.0,137272985.0,114239371.0,139937922.0,108382060.0,182331313.0,StarLadder ImbaTV Invitational Season 5
41,39,3586078.0,3836958580,31,2581813.0,False,1523945008,100.0,72.0,68.0,65.0,34.0,60.0,109.0,87.0,89.0,39.0,91654584.0,180012313.0,103045129.0,108831569.0,94281932.0,138857296.0,110759067.0,101259972.0,145335241.0,113435203.0,GESC: Thailand
42,24,2581813.0,3837024562,36,3586078.0,True,1523949186,16.0,109.0,27.0,22.0,45.0,86.0,20.0,34.0,68.0,69.0,138857296.0,110759067.0,101259972.0,145335241.0,113435203.0,91654584.0,180012313.0,94281932.0,103045129.0,108831569.0,GESC: Thailand
43,16,5207190.0,3837137896,31,3659536.0,True,1523955658,30.0,119.0,109.0,43.0,69.0,100.0,13.0,19.0,76.0,88.0,76600360.0,92253768.0,126417273.0,142139318.0,27178898.0,323792491.0,177085220.0,121833213.0,152545459.0,127077041.0,GESC: Thailand
44,33,5207190.0,3837207773,28,3659536.0,True,1523959440,26.0,100.0,48.0,43.0,102.0,19.0,47.0,89.0,29.0,119.0,76600360.0,92253768.0,126417273.0,142139318.0,27178898.0,152545459.0,177085220.0,323792491.0,121833213.0,127077041.0,GESC: Thailand
