,match_id,start_time,radiant_team_id,radiant_score,dire_team_id,dire_score,radiant_win,radiant_H1,radiant_H2,radiant_H3,radiant_H4,radiant_H5,dire_H1,dire_H2,dire_H3,dire_H4,dire_H5,radiant_P1,radiant_P2,radiant_P3,radiant_P4,radiant_P5,dire_P1,dire_P2,dire_P3,dire_P4,dire_P5,league_name
0,2897064589,1483677730,1883502.0,23,350190.0,12,True,86.0,8.0,76.0,57.0,107.0,54.0,46.0,62.0,25.0,28.0,134556694.0,132851371.0,106573901.0,92423451.0,106809101.0,89871557.0,181716137.0,112377459.0,121052479.0,93616251.0,ESL One Genting 2017
1,2897074199,1483678249,3214108.0,8,1375614.0,37,False,21.0,55.0,71.0,48.0,84.0,9.0,54.0,79.0,39.0,96.0,43276219.0,86726887.0,87196890.0,40547474.0,47434686.0,139876032.0,117281554.0,82327674.0,149486894.0,87012746.0,ESL One Genting 2017
2,2897155244,1483682366,2581813.0,16,2512249.0,26,False,79.0,63.0,28.0,98.0,16.0,86.0,100.0,2.0,82.0,48.0,91654584.0,180012313.0,116782914.0,152545459.0,102099826.0,87382579.0,103735745.0,38628747.0,86700461.0,86725175.0,ESL One Genting 2017
3,2897190211,1483683976,1836806.0,24,2659468.0,26,True,20.0,11.0,28.0,14.0,111.0,84.0,10.0,101.0,13.0,19.0,129585121.0,101586543.0,118134220.0,102644565.0,111114687.0,119576842.0,126417273.0,94296097.0,101525357.0,113457795.0,ESL One Genting 2017
4,2897294037,1483688368,1883502.0,16,1375614.0,35,False,87.0,48.0,8.0,65.0,14.0,63.0,39.0,6.0,30.0,88.0,134556694.0,132851371.0,106573901.0,92423451.0,106809101.0,139876032.0,149486894.0,117281554.0,82327674.0,87012746.0,ESL One Genting 2017
5,2897415426,1483692961,1883502.0,20,1375614.0,9,True,87.0,8.0,11.0,108.0,91.0,14.0,76.0,70.0,30.0,16.0,134556694.0,132851371.0,106573901.0,92423451.0,106809101.0,139876032.0,149486894.0,117281554.0,82327674.0,87012746.0,ESL One Genting 2017
6,2897508853,1483696241,1883502.0,2,1375614.0,34,False,102.0,8.0,11.0,28.0,63.0,54.0,79.0,39.0,9.0,96.0,134556694.0,132851371.0,106573901.0,92423451.0,106809101.0,117281554.0,82327674.0,149486894.0,139876032.0,87012746.0,ESL One Genting 2017
7,2897669822,1483701484,2512249.0,18,1836806.0,45,False,28.0,50.0,55.0,82.0,47.0,72.0,11.0,16.0,112.0,86.0,87382579.0,103735745.0,38628747.0,86700461.0,86725175.0,129585121.0,101586543.0,118134220.0,102644565.0,111114687.0,ESL One Genting 2017
8,2897839994,1483706228,2512249.0,47,1836806.0,46,True,52.0,20.0,89.0,9.0,104.0,109.0,70.0,28.0,32.0,37.0,87382579.0,103735745.0,86725175.0,86700461.0,38628747.0,129585121.0,101586543.0,118134220.0,102644565.0,111114687.0,ESL One Genting 2017
9,2898057696,1483711679,2512249.0,42,1836806.0,14,True,14.0,86.0,42.0,106.0,57.0,80.0,8.0,38.0,5.0,62.0,87382579.0,103735745.0,86725175.0,86700461.0,38628747.0,129585121.0,101586543.0,118134220.0,102644565.0,111114687.0,ESL One Genting 2017
10,2899199807,1483756296,3214108.0,43,350190.0,12,True,106.0,55.0,71.0,93.0,5.0,94.0,39.0,90.0,87.0,28.0,43276219.0,86726887.0,87196890.0,40547474.0,47434686.0,89871557.0,181716137.0,112377459.0,121052479.0,93616251.0,ESL One Genting 2017
11,2899277641,1483760678,350190.0,23,3214108.0,34,False,54.0,34.0,32.0,87.0,55.0,9.0,38.0,85.0,70.0,37.0,89871557.0,181716137.0,112377459.0,121052479.0,93616251.0,43276219.0,86726887.0,87196890.0,40547474.0,47434686.0,ESL One Genting 2017
12,2899438605,1483767865,2581813.0,29,2659468.0,24,True,50.0,16.0,48.0,49.0,29.0,28.0,6.0,9.0,88.0,79.0,91654584.0,116782914.0,180012313.0,152545459.0,102099826.0,119576842.0,126417273.0,113457795.0,101525357.0,94296097.0,ESL One Genting 2017
