"match_id","start_time","radiant_team_id","radiant_score","dire_team_id","dire_score","radiant_win"
2861606428,1482307691,3544750,10,3510968,25,false
2861681825,1482310526,3623669,0,3619395,24,false
2861723946,1482312101,3510968,37,3544750,16,true
2861759313,1482313424,3619395,44,3623669,19,true
2861848120,1482316681,3623669,25,3544750,41,false
2861952587,1482320154,3544750,34,3623669,47,false
2862091025,1482324126,3623669,43,3544750,23,true
2862451528,1482333354,3266312,31,,27,true
2862612374,1482338805,3332295,32,2790766,21,true
2862714059,1482342351,2790766,20,3332295,36,false
2863053784,1482357986,2672298,27,3333433,5,true
2863093560,1482360676,3333433,16,2672298,9,true
2863130634,1482363888,3333433,10,2672298,23,false
2863214069,1482370982,3691991,21,3580606,9,true
2863254440,1482373620,3580606,24,3334621,8,true
2863316093,1482376880,3580606,40,3334621,25,true
2863682000,1482393653,3623669,20,3510968,32,false
2863768797,1482396957,3510968,28,3623669,10,true
2863938550,1482403213,3619395,25,3510968,11,true
2864078890,1482407723,3510968,26,3619395,23,true
2864187320,1482410739,3619395,44,3510968,71,false
2864248682,1482412350,3516840,52,3657755,58,true
2864488314,1482418389,1218336,12,3686302,26,false
2864647167,1482422710,111474,26,46,11,true
2864688459,1482423923,2775251,66,3581614,48,true
2864768766,1482426428,46,21,111474,30,false
2864869665,1482429849,111474,10,46,33,false
2864954957,1482433062,111474,27,46,25,true
2864957079,1482433148,2533075,29,3326680,8,true
2865010702,1482435365,3326680,41,2533075,23,true
2865109136,1482439997,2533075,34,3326680,21,true
2865187998,1482444519,3707335,7,3152713,23,false
2865192798,1482444836,3513460,13,3706211,31,false
2865254289,1482449298,3706211,41,3513460,30,true
2865355375,1482456750,3333433,26,3334621,10,true
2865407363,1482459926,3334621,14,3333433,37,false
2866737613,1482505867,3266312,34,3152713,26,true
2866803968,1482519649,2775251,22,2850016,26,false
2866899043,1482523994,3326680,38,2850016,48,false
2867082313,1482533075,2701329,22,2677025,6,true
2867122331,1482535585,2677025,29,2701329,29,false
2867248508,1482543593,3580606,19,2672298,34,false
2867313126,1482546916,2672298,20,3580606,7,true
2868735610,1482590739,3516840,38,2293253,24,true
2870878737,1482668648,3516840,38,3588528,21,true
