"match_id","start_time","radiant_team_id","radiant_score","dire_team_id","dire_score","radiant_win"
3731013884,1518454854,2586976,25,2786652,14,true
3731020690,1518455167,5197722,29,2006913,20,true
3731036301,1518455832,5006832,31,5097652,25,true
3731051117,1518456526,67,35,3705786,26,true
3731057144,1518456782,36,47,2621843,27,true
3731110624,1518459249,5059375,11,3704482,22,false
3731117923,1518459639,5006832,25,5097652,49,false
3731146890,1518461118,2621843,37,36,20,true
3731166555,1518462044,5065748,40,67,30,true
3731167554,1518462101,39,16,5196328,14,true
3731168784,1518462189,5026801,22,5220225,6,true
3731176900,1518462595,3704482,18,5059375,40,false
3731179895,1518462749,5235178,7,3705786,34,false
3731217253,1518464857,5026801,24,5220225,33,true
3731218834,1518464984,2786652,16,5097652,33,false
3731232594,1518465652,3705786,33,5235178,12,true
3731233058,1518465799,5196328,18,39,21,false
3731235940,1518465841,5065748,36,67,30,false
3731239363,1518466072,5197722,27,36,22,true
3731242786,1518466237,5059375,29,3704482,7,true
3731281689,1518468685,2786652,38,5097652,47,true
3731289049,1518469111,3704482,21,5059375,42,false
3731295105,1518469524,67,44,5065748,22,true
3731304761,1518470212,5197722,17,36,10,true
3731338977,1518472787,5026801,18,39,30,false
3731341055,1518472927,5220225,26,5196328,15,true
3731351021,1518473671,2786652,43,5097652,33,true
3731351761,1518473731,5065748,28,3705786,42,false
3731376121,1518475987,39,28,5026801,7,true
3731377991,1518475973,5196328,44,5220225,35,true
3731403031,1518478239,3705786,29,5065748,41,false
3731425502,1518480401,5196328,30,5228654,36,false
3731451651,1518482549,3705786,37,5065748,13,true
3731491920,1518485926,5220225,35,5026801,6,true
3731538324,1518489183,5026801,47,5220225,33,true
3731603683,1518493549,5220225,29,5026801,35,false
3731845800,1518507010,2581813,37,2108395,16,true
3731917725,1518510314,2108395,26,2581813,7,true
3732003237,1518514208,2108395,34,2581813,34,true
3732103476,1518519006,3586078,16,350190,34,false
3732198939,1518523223,3586078,17,350190,35,false
3732289956,1518526982,5059375,24,111474,25,true
3732293676,1518526982,5039050,33,3704482,19,true
3732359324,1518529314,2108395,30,350190,22,true
3732417346,1518531446,111474,38,5059375,30,true
3732431608,1518531988,5039050,29,3704482,9,true
3732482415,1518533801,2108395,20,350190,29,false
3732536334,1518535922,5059375,27,111474,16,true
3732580015,1518537564,350190,32,2108395,17,true
3732580100,1518537592,5197722,32,2621843,11,true
3732581038,1518537606,4324365,34,3715574,20,true
3732583031,1518537786,2527544,34,3477208,6,true
3732649375,1518540379,3704482,31,111474,12,true
3732652594,1518540532,5039050,16,5059375,30,false
3732656683,1518540712,3477208,47,2527544,42,true
3732656934,1518540682,2621843,27,5197722,31,false
3732682368,1518541746,3715574,36,4324365,11,true
3732722669,1518543559,111474,20,3704482,36,false
3732733388,1518544026,5039050,27,5059375,29,true
3732746829,1518545009,2527544,43,3477208,28,true
3732764995,1518545458,3715574,22,4324365,9,true
3732823916,1518548531,5039050,15,5059375,37,false
3732824588,1518548628,5208384,8,3,25,false
3732825745,1518548437,5051649,31,2103577,15,true
3732843215,1518549293,3715574,29,2527544,7,true
3732844064,1518549335,3477208,27,4324365,46,false
3732881151,1518551491,3,29,5208384,13,true
3732896575,1518552231,5051649,43,2103577,33,true
3732900390,1518552411,2527544,36,3715574,16,true
