,dire_score,dire_team_id,match_id,radiant_score,radiant_team_id,radiant_win,start_time,radiant_H1,radiant_H2,radiant_H3,radiant_H4,radiant_H5,dire_H1,dire_H2,dire_H3,dire_H4,dire_H5,radiant_P1,radiant_P2,radiant_P3,radiant_P4,radiant_P5,dire_P1,dire_P2,dire_P3,dire_P4,dire_P5,league_name
0,12,350190.0,2897064589,23,1883502.0,True,1483677730,57.0,107.0,86.0,8.0,76.0,54.0,25.0,62.0,46.0,28.0,92423451.0,106809101.0,134556694.0,132851371.0,106573901.0,89871557.0,121052479.0,112377459.0,181716137.0,93616251.0,ESL One Genting 2017
1,37,1375614.0,2897074199,8,3214108.0,False,1483678249,84.0,55.0,48.0,71.0,21.0,9.0,39.0,79.0,96.0,54.0,47434686.0,86726887.0,40547474.0,87196890.0,43276219.0,139876032.0,149486894.0,82327674.0,87012746.0,117281554.0,ESL One Genting 2017
2,26,2512249.0,2897155244,16,2581813.0,False,1483682366,63.0,28.0,98.0,79.0,16.0,86.0,100.0,2.0,82.0,48.0,180012313.0,116782914.0,152545459.0,91654584.0,102099826.0,87382579.0,103735745.0,38628747.0,86700461.0,86725175.0,ESL One Genting 2017
3,26,2659468.0,2897190211,24,1836806.0,True,1483683976,111.0,20.0,11.0,14.0,28.0,13.0,101.0,19.0,84.0,10.0,111114687.0,129585121.0,101586543.0,102644565.0,118134220.0,101525357.0,94296097.0,113457795.0,119576842.0,126417273.0,ESL One Genting 2017
4,35,1375614.0,2897294037,16,1883502.0,False,1483688368,8.0,14.0,48.0,65.0,87.0,6.0,88.0,30.0,63.0,39.0,106573901.0,106809101.0,132851371.0,92423451.0,134556694.0,117281554.0,87012746.0,82327674.0,139876032.0,149486894.0,ESL One Genting 2017
5,9,1375614.0,2897415426,20,1883502.0,True,1483692961,87.0,8.0,91.0,11.0,108.0,30.0,14.0,76.0,70.0,16.0,134556694.0,132851371.0,106809101.0,106573901.0,92423451.0,82327674.0,139876032.0,149486894.0,117281554.0,87012746.0,ESL One Genting 2017
6,34,1375614.0,2897508853,2,1883502.0,False,1483696241,102.0,8.0,11.0,28.0,63.0,39.0,79.0,96.0,9.0,54.0,134556694.0,132851371.0,106573901.0,92423451.0,106809101.0,149486894.0,82327674.0,87012746.0,139876032.0,117281554.0,ESL One Genting 2017
7,45,1836806.0,2897669822,18,2512249.0,False,1483701484,82.0,28.0,50.0,55.0,47.0,112.0,16.0,72.0,11.0,86.0,86700461.0,87382579.0,103735745.0,38628747.0,86725175.0,102644565.0,118134220.0,129585121.0,101586543.0,111114687.0,ESL One Genting 2017
8,46,1836806.0,2897839994,47,2512249.0,True,1483706228,20.0,104.0,89.0,52.0,9.0,28.0,32.0,37.0,70.0,109.0,103735745.0,38628747.0,86725175.0,87382579.0,86700461.0,118134220.0,102644565.0,111114687.0,101586543.0,129585121.0,ESL One Genting 2017
9,14,1836806.0,2898057696,42,2512249.0,True,1483711679,42.0,14.0,57.0,106.0,86.0,5.0,80.0,8.0,62.0,38.0,86725175.0,87382579.0,38628747.0,86700461.0,103735745.0,102644565.0,129585121.0,101586543.0,111114687.0,118134220.0,ESL One Genting 2017
10,12,350190.0,2899199807,43,3214108.0,True,1483756296,55.0,106.0,5.0,93.0,71.0,39.0,94.0,87.0,28.0,90.0,86726887.0,43276219.0,47434686.0,40547474.0,87196890.0,181716137.0,89871557.0,121052479.0,93616251.0,112377459.0,ESL One Genting 2017
