,radiant_P1_different_H_7day_ago,radiant_P1_winrate_7day_ago,radiant_P1_kills_7day_ago,radiant_P1_deaths_7day_ago,radiant_P1_assists_7day_ago,radiant_P1_eloShift_7day_ago,radiant_P1_gpm_7day_ago,radiant_P1_xpm_7day_ago,radiant_P1_kda_7day_ago,radiant_P1_lastHits_7day_ago,radiant_P1_denies_7day_ago,radiant_P2_different_H_7day_ago,radiant_P2_winrate_7day_ago,radiant_P2_kills_7day_ago,radiant_P2_deaths_7day_ago,radiant_P2_assists_7day_ago,radiant_P2_eloShift_7day_ago,radiant_P2_gpm_7day_ago,radiant_P2_xpm_7day_ago,radiant_P2_kda_7day_ago,radiant_P2_lastHits_7day_ago,radiant_P2_denies_7day_ago,radiant_P3_different_H_7day_ago,radiant_P3_winrate_7day_ago,radiant_P3_kills_7day_ago,radiant_P3_deaths_7day_ago,radiant_P3_assists_7day_ago,radiant_P3_eloShift_7day_ago,radiant_P3_gpm_7day_ago,radiant_P3_xpm_7day_ago,radiant_P3_kda_7day_ago,radiant_P3_lastHits_7day_ago,radiant_P3_denies_7day_ago,radiant_P4_different_H_7day_ago,radiant_P4_winrate_7day_ago,radiant_P4_kills_7day_ago,radiant_P4_deaths_7day_ago,radiant_P4_assists_7day_ago,radiant_P4_eloShift_7day_ago,radiant_P4_gpm_7day_ago,radiant_P4_xpm_7day_ago,radiant_P4_kda_7day_ago,radiant_P4_lastHits_7day_ago,radiant_P4_denies_7day_ago,radiant_P5_different_H_7day_ago,radiant_P5_winrate_7day_ago,radiant_P5_kills_7day_ago,radiant_P5_deaths_7day_ago,radiant_P5_assists_7day_ago,radiant_P5_eloShift_7day_ago,radiant_P5_gpm_7day_ago,radiant_P5_xpm_7day_ago,radiant_P5_kda_7day_ago,radiant_P5_lastHits_7day_ago,radiant_P5_denies_7day_ago,dire_P1_different_H_7day_ago,dire_P1_winrate_7day_ago,dire_P1_kills_7day_ago,dire_P1_deaths_7day_ago,dire_P1_assists_7day_ago,dire_P1_eloShift_7day_ago,dire_P1_gpm_7day_ago,dire_P1_xpm_7day_ago,dire_P1_kda_7day_ago,dire_P1_lastHits_7day_ago,dire_P1_denies_7day_ago,dire_P2_different_H_7day_ago,dire_P2_winrate_7day_ago,dire_P2_kills_7day_ago,dire_P2_deaths_7day_ago,dire_P2_assists_7day_ago,dire_P2_eloShift_7day_ago,dire_P2_gpm_7day_ago,dire_P2_xpm_7day_ago,dire_P2_kda_7day_ago,dire_P2_lastHits_7day_ago,dire_P2_denies_7day_ago,dire_P3_different_H_7day_ago,dire_P3_winrate_7day_ago,dire_P3_kills_7day_ago,dire_P3_deaths_7day_ago,dire_P3_assists_7day_ago,dire_P3_eloShift_7day_ago,dire_P3_gpm_7day_ago,dire_P3_xpm_7day_ago,dire_P3_kda_7day_ago,dire_P3_lastHits_7day_ago,dire_P3_denies_7day_ago,dire_P4_different_H_7day_ago,dire_P4_winrate_7day_ago,dire_P4_kills_7day_ago,dire_P4_deaths_7day_ago,dire_P4_assists_7day_ago,dire_P4_eloShift_7day_ago,dire_P4_gpm_7day_ago,dire_P4_xpm_7day_ago,dire_P4_kda_7day_ago,dire_P4_lastHits_7day_ago,dire_P4_denies_7day_ago,dire_P5_different_H_7day_ago,dire_P5_winrate_7day_ago,dire_P5_kills_7day_ago,dire_P5_deaths_7day_ago,dire_P5_assists_7day_ago,dire_P5_eloShift_7day_ago,dire_P5_gpm_7day_ago,dire_P5_xpm_7day_ago,dire_P5_kda_7day_ago,dire_P5_lastHits_7day_ago,dire_P5_denies_7day_ago,match_id
0,5,0.9,6.5,4.8,18.2,28.724021298706504,334.6,455.3,6.266666666666667,130.2,2.2,6,0.8333333333333334,4.5,4.916666666666667,19.083333333333332,23.956337126626305,448.25,522.3333333333334,5.6420634920634924,242.75,16.75,5,0.8,10.3,6.1,15.9,20.657325734423388,607.0,625.3,4.323157894736842,405.4,16.7,6,0.8333333333333334,4.083333333333333,10.083333333333334,20.666666666666668,25.345250096862234,288.3333333333333,371.3333333333333,2.797123464770524,57.083333333333336,3.6666666666666665,4,0.916666666675,12.5,5.0,15.625,28.88056283985333,638.6666666666666,621.5833333333334,5.770833333333333,447.5,19.125,6,0.8333333333333334,9.0,3.8333333333333335,12.083333333333334,15.919459522201544,566.0833333333334,565.9166666666666,7.540873015873015,270.1666666666667,20.166666666666668,5,0.9,7.1,5.0,13.8,21.18796259987824,469.3,524.9,4.33951048951049,178.6,4.8,6,0.8333333333333334,2.75,4.833333333333333,18.166666666666668,17.172000021058157,316.6666666666667,396.9166666666667,6.840476190476191,57.0,2.25,6,0.8333333333333334,12.333333333333334,4.0,11.833333333333334,15.919459522201542,585.0,649.6666666666666,7.263888888888888,282.1666666666667,17.333333333333332,6,0.8333333333333334,2.1666666666666665,7.166666666666667,18.416666666666668,17.172000021058157,300.75,340.0,2.9525462962962963,44.5,4.583333333333333,3760408738
1,6,0.8333333333333334,9.0,3.8333333333333335,12.083333333333334,15.919459522201544,566.0833333333334,565.9166666666666,7.540873015873015,270.1666666666667,20.166666666666668,5,0.9,7.1,5.0,13.8,21.18796259987824,469.3,524.9,4.33951048951049,178.6,4.8,6,0.8333333333333334,2.75,4.833333333333333,18.166666666666668,17.172000021058157,316.6666666666667,396.9166666666667,6.840476190476191,57.0,2.25,6,0.8333333333333334,12.333333333333334,4.0,11.833333333333334,15.919459522201542,585.0,649.6666666666666,7.263888888888888,282.1666666666667,17.333333333333332,6,0.8333333333333334,2.1666666666666665,7.166666666666667,18.416666666666668,17.172000021058157,300.75,340.0,2.9525462962962963,44.5,4.583333333333333,5,0.9,6.5,4.8,18.2,28.724021298706504,334.6,455.3,6.266666666666667,130.2,2.2,6,0.8333333333333334,4.083333333333333,10.083333333333334,20.666666666666668,25.345250096862234,288.3333333333333,371.3333333333333,2.797123464770524,57.083333333333336,3.6666666666666665,5,0.8,10.3,6.1,15.9,20.657325734423388,607.0,625.3,4.323157894736842,405.4,16.7,6,0.8333333333333334,4.5,4.916666666666667,19.083333333333332,23.956337126626305,448.25,522.3333333333334,5.6420634920634924,242.75,16.75,4,0.916666666675,12.5,5.0,15.625,28.88056283985333,638.6666666666666,621.5833333333334,5.770833333333333,447.5,19.125,3760517861
2,8,0.625,7.4375,4.0625,10.1875,3.1457481795833386,557.375,555.625,6.1193910256410255,265.125,19.4375,6,0.8333333333333334,6.222222222222221,4.555555555555555,13.777777777777777,18.365406505544872,442.5,504.5,4.973710317460317,164.55555555555557,5.277777777777778,7,0.6428571428571429,2.261904761904762,4.666666666666667,15.952380952380953,5.426701107400737,296.92857142857144,355.30952380952385,6.052701080432173,45.61904761904761,2.0238095238095237,7,0.6428571428571429,11.214285714285714,4.357142857142857,10.214285714285714,4.670164174876565,561.1428571428571,614.7142857142857,5.666666666666666,285.35714285714283,17.357142857142858,7,0.7857142857142857,1.8928571428571428,7.178571428571429,17.071428571428573,15.546249018814665,285.2142857142857,330.5357142857143,2.7287219485495346,42.07142857142857,4.5,6,0.8333333333333334,6.166666666666667,5.0,16.666666666666668,24.122735821033515,326.1666666666667,438.0277777777778,5.541666666666667,112.72222222222223,2.4722222222222223,6,0.75,3.9583333333333335,10.208333333333334,18.958333333333332,20.967541476154384,285.9166666666667,358.1666666666667,2.5030712669683255,54.916666666666664,3.5416666666666665,6,0.75,9.5,6.083333333333333,14.833333333333334,16.590463662445085,604.4166666666666,619.6666666666666,4.076441102756893,400.75,17.25,6,0.8333333333333334,4.0,4.833333333333333,17.0,21.92379699577842,446.5833333333333,495.0833333333333,5.3143518518518515,225.83333333333334,13.666666666666666,6,0.7777777777833332,10.75,4.166666666666667,13.916666666666666,19.04692425557499,657.2777777777777,640.6388888888889,6.5694444444444455,434.9166666666667,18.5,3760649937
3,1,1.0,4.0,5.0,14.0,17.56268966884412,279.0,334.0,3.6,24.0,2.0,1,1.0,2.0,4.0,13.0,17.56268966884412,475.0,561.0,3.75,244.0,1.0,1,1.0,6.0,3.0,13.0,17.56268966884412,554.0,625.0,6.333333333333333,231.0,15.0,1,1.0,3.0,6.0,15.0,17.56268966884412,328.0,305.0,3.0,65.0,0.0,1,1.0,11.0,3.0,11.0,17.56268966884412,628.0,576.0,7.333333333333333,291.0,12.0,1,0.0,5.0,3.0,2.0,-17.56268966884412,687.0,665.0,2.3333333333333335,453.0,31.0,1,0.0,4.0,9.0,14.0,-17.56268966884412,320.0,284.0,2.0,15.0,0.0,1,0.0,1.0,5.0,8.0,-17.56268966884412,515.0,481.0,1.8,284.0,36.0,1,0.0,6.0,4.0,10.0,-17.56268966884412,286.0,276.0,4.0,49.0,3.0,1,0.0,5.0,7.0,8.0,-17.56268966884412,439.0,398.0,1.8571428571428572,183.0,10.0,3760977296
4,1,0.0,5.0,3.0,2.0,-17.56268966884412,687.0,665.0,2.3333333333333335,453.0,31.0,1,0.0,4.0,9.0,14.0,-17.56268966884412,320.0,284.0,2.0,15.0,0.0,1,0.0,1.0,5.0,8.0,-17.56268966884412,515.0,481.0,1.8,284.0,36.0,1,0.0,5.0,7.0,8.0,-17.56268966884412,439.0,398.0,1.8571428571428572,183.0,10.0,1,0.0,6.0,4.0,10.0,-17.56268966884412,286.0,276.0,4.0,49.0,3.0,1,1.0,11.0,3.0,11.0,17.56268966884412,628.0,576.0,7.333333333333333,291.0,12.0,1,1.0,6.0,3.0,13.0,17.56268966884412,554.0,625.0,6.333333333333333,231.0,15.0,1,1.0,4.0,5.0,14.0,17.56268966884412,279.0,334.0,3.6,24.0,2.0,1,1.0,3.0,6.0,15.0,17.56268966884412,328.0,305.0,3.0,65.0,0.0,1,1.0,2.0,4.0,13.0,17.56268966884412,475.0,561.0,3.75,244.0,1.0,3761035234
5,1,0.0,5.0,3.0,2.0,-17.56268966884412,687.0,665.0,2.3333333333333335,453.0,31.0,1,0.0,4.0,9.0,14.0,-17.56268966884412,320.0,284.0,2.0,15.0,0.0,1,0.0,1.0,5.0,8.0,-17.56268966884412,515.0,481.0,1.8,284.0,36.0,1,0.0,5.0,7.0,8.0,-17.56268966884412,439.0,398.0,1.8571428571428572,183.0,10.0,1,0.0,6.0,4.0,10.0,-17.56268966884412,286.0,276.0,4.0,49.0,3.0,1,1.0,11.0,3.0,11.0,17.56268966884412,628.0,576.0,7.333333333333333,291.0,12.0,1,1.0,4.0,5.0,14.0,17.56268966884412,279.0,334.0,3.6,24.0,2.0,1,1.0,6.0,3.0,13.0,17.56268966884412,554.0,625.0,6.333333333333333,231.0,15.0,1,1.0,3.0,6.0,15.0,17.56268966884412,328.0,305.0,3.0,65.0,0.0,1,1.0,2.0,4.0,13.0,17.56268966884412,475.0,561.0,3.75,244.0,1.0,3761093569
6,2,0.5,2.0,4.75,16.75,1.277120750319277,254.25,345.5,3.715909090909091,14.0,0.0,3,0.6666666666666666,11.333333333333334,3.6666666666666665,6.666666666666667,11.943787416985943,616.6666666666666,586.0,10.825396825396824,262.3333333333333,11.333333333333334,3,0.6666666666666666,1.3333333333333333,6.666666666666667,18.0,11.943787416985943,282.0,342.0,5.518518518518518,38.666666666666664,3.6666666666666665,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.75,10.0,1.25,12.0,17.277120750319277,627.5,604.0,19.333333333333332,253.5,9.5,3,0.6666666666666666,3.3333333333333335,6.0,9.0,-3.770643664489216,347.3333333333333,361.0,3.8666666666666667,94.66666666666667,1.6666666666666667,3,0.6666666666666666,6.0,3.6666666666666665,11.0,-3.770643664489216,569.6666666666666,621.0,6.0,277.6666666666667,21.0,2,0.75,2.5,4.5,14.0,1.5626896688441176,346.75,414.5,4.25,68.0,1.25,3,0.6666666666666666,8.0,3.6666666666666665,7.333333333333333,-3.770643664489216,639.3333333333334,576.0,4.444444444444444,338.3333333333333,13.0,3,0.6666666666666666,2.6666666666666665,2.6666666666666665,11.333333333333334,-3.770643664489216,434.3333333333333,452.6666666666667,6.916666666666667,186.33333333333334,4.333333333333333,3763027660
7,3,0.6666666666666666,11.333333333333334,3.6666666666666665,6.666666666666667,11.943787416985943,616.6666666666666,586.0,10.825396825396824,262.3333333333333,11.333333333333334,3,0.6666666666666666,1.3333333333333333,6.666666666666667,18.0,11.943787416985943,282.0,342.0,5.518518518518518,38.666666666666664,3.6666666666666665,2,0.5,2.0,4.75,16.75,1.277120750319277,254.25,345.5,3.715909090909091,14.0,0.0,2,0.75,10.0,1.25,12.0,17.277120750319277,627.5,604.0,19.333333333333332,253.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.6666666666666666,3.3333333333333335,6.0,9.0,-3.770643664489216,347.3333333333333,361.0,3.8666666666666667,94.66666666666667,1.6666666666666667,3,0.6666666666666666,8.0,3.6666666666666665,7.333333333333333,-3.770643664489216,639.3333333333334,576.0,4.444444444444444,338.3333333333333,13.0,3,0.6666666666666666,6.0,3.6666666666666665,11.0,-3.770643664489216,569.6666666666666,621.0,6.0,277.6666666666667,21.0,2,0.75,2.5,4.5,14.0,1.5626896688441176,346.75,414.5,4.25,68.0,1.25,3,0.6666666666666666,2.6666666666666665,2.6666666666666665,11.333333333333334,-3.770643664489216,434.3333333333333,452.6666666666667,6.916666666666667,186.33333333333334,4.333333333333333,3763089954
8,6,0.5,4.833333333333333,5.0,8.333333333333334,-10.505052102852256,599.8333333333334,594.1666666666666,3.6954365079365084,349.3333333333333,13.166666666666666,6,0.5,6.666666666666667,5.166666666666667,6.833333333333333,-10.50505210285226,488.0,507.6666666666667,5.436111111111111,243.66666666666666,14.833333333333334,5,0.6,1.9,8.1,10.2,-4.858987813261612,290.7,343.3,1.5266666666666668,56.7,2.1,4,0.41666666667499996,2.8333333333333335,5.25,13.666666666666666,-15.21010567751113,283.6666666666667,318.0,3.225,60.66666666666667,0.5833333333333334,5,0.5,6.4,5.9,8.9,-10.505052102852257,469.2,494.5,2.996092796092796,211.1,10.9,2,0.0,4.0,9.0,13.0,-11.710499481858157,224.5,269.5,1.925,45.5,1.5,2,0.0,3.0,8.5,12.0,-11.710499481858157,212.5,279.0,1.7777777777777777,24.0,1.0,2,0.0,6.5,4.5,8.0,-11.710499481858157,468.0,500.0,3.5833333333333335,241.5,17.0,2,0.0,5.5,3.5,8.0,-11.710499481858157,437.5,511.0,4.0,193.0,12.0,2,0.0,0.5,6.0,5.5,-11.710499481858157,356.0,448.5,1.2222222222222223,192.0,4.0,3763492629
9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3763575506
