,radiant_P1_heroDamage,radiant_P1_towerDamage,radiant_P1_level,radiant_P1_heroHealing,radiant_P1_goldSpent,radiant_P2_heroDamage,radiant_P2_towerDamage,radiant_P2_level,radiant_P2_heroHealing,radiant_P2_goldSpent,radiant_P3_heroDamage,radiant_P3_towerDamage,radiant_P3_level,radiant_P3_heroHealing,radiant_P3_goldSpent,radiant_P4_heroDamage,radiant_P4_towerDamage,radiant_P4_level,radiant_P4_heroHealing,radiant_P4_goldSpent,radiant_P5_heroDamage,radiant_P5_towerDamage,radiant_P5_level,radiant_P5_heroHealing,radiant_P5_goldSpent,dire_P1_heroDamage,dire_P1_towerDamage,dire_P1_level,dire_P1_heroHealing,dire_P1_goldSpent,dire_P2_heroDamage,dire_P2_towerDamage,dire_P2_level,dire_P2_heroHealing,dire_P2_goldSpent,dire_P3_heroDamage,dire_P3_towerDamage,dire_P3_level,dire_P3_heroHealing,dire_P3_goldSpent,dire_P4_heroDamage,dire_P4_towerDamage,dire_P4_level,dire_P4_heroHealing,dire_P4_goldSpent,dire_P5_heroDamage,dire_P5_towerDamage,dire_P5_level,dire_P5_heroHealing,dire_P5_goldSpent,match_id
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3760408738
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3760517861
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3760649937
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3760977296
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3761035234
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3761093569
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3763027660
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3763089954
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3763492629
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3763575506
