,dire_score,dire_team_id,match_id,radiant_score,radiant_team_id,radiant_win,start_time,radiant_H1,radiant_H2,radiant_H3,radiant_H4,radiant_H5,dire_H1,dire_H2,dire_H3,dire_H4,dire_H5,radiant_P1,radiant_P2,radiant_P3,radiant_P4,radiant_P5,dire_P1,dire_P2,dire_P3,dire_P4,dire_P5,league_name,radiant_name,dire_name,radiant_current_elo32,radiant_sevenDayAgo_elo32,radiant_sevenDayAvg_elo32,radiant_thirtyDayAgo_elo32,radiant_thirtyDayAvg_elo32,radiant_current_elo64,radiant_sevenDayAgo_elo64,radiant_sevenDayAvg_elo64,radiant_thirtyDayAgo_elo64,radiant_thirtyDayAvg_elo64,radiant_mu_glicko,radiant_rating_glicko,radiant_ratingSevenDaysAgo_glicko,radiant_sigma_glicko,radiant_mu_glicko2,radiant_phi_glicko2,radiant_rating_glicko2,radiant_ratingSevenDaysAgo_glicko2,dire_current_elo32,dire_sevenDayAgo_elo32,dire_sevenDayAvg_elo32,dire_thirtyDayAgo_elo32,dire_thirtyDayAvg_elo32,dire_current_elo64,dire_sevenDayAgo_elo64,dire_sevenDayAvg_elo64,dire_thirtyDayAgo_elo64,dire_thirtyDayAvg_elo64,dire_mu_glicko,dire_rating_glicko,dire_ratingSevenDaysAgo_glicko,dire_sigma_glicko,dire_mu_glicko2,dire_phi_glicko2,dire_rating_glicko2,dire_ratingSevenDaysAgo_glicko2
0,10,2108395,3927969458,35,1883502,True,1527904857,3.0,93.0,23.0,69.0,16.0,85.0,52.0,39.0,95.0,38.0,134556694.0,132851371.0,106573901.0,92423451.0,159020918.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,CHINA DOTA2 SUPER MAJOR,Virtus.pro,TNC Predator,1294.7279139804941,1247.9350033206513,1289.4151570443069,1257.785055245483,1227.2271575322834,1460.3050586045622,1366.7594692709133,1448.518352316811,1375.2091175643136,1314.6789111802655,2318.7457988798924,2110.0775800662655,2075.279628906176,83.46728752545083,2084.035867715337,42.67825000400749,1977.3402427053184,1969.7741082523012,1172.3592171578164,1180.8641321861548,1176.5824156821436,1242.7399965492805,1205.9030136437837,1232.111009044248,1243.5643240546992,1237.798264341876,1365.6118158106885,1295.5022167347008,2185.409127255085,1959.7735398085642,1815.6006949595358,90.25423497860832,1957.132696760183,38.86761251442951,1859.9636654741093,1839.2931576408378
0,48,726228,3927969700,11,39,False,1527904873,52.0,48.0,30.0,104.0,16.0,72.0,26.0,62.0,106.0,65.0,111620041.0,86745912.0,94155156.0,41231571.0,25907144.0,137193239.0,89423756.0,113800818.0,107803494.0,134276083.0,CHINA DOTA2 SUPER MAJOR,Evil Geniuses,Vici Gaming,1080.2543671354306,1084.2144487858072,1082.2207843102478,1167.9200275685673,1133.0581511160415,1055.2886090341312,1058.0167771566387,1056.6433075291427,1213.3356856816545,1151.0416782333004,1870.8407978662945,1617.044493873708,1639.8677966273344,101.5185215970346,1949.7702313364737,44.549777867156244,1838.395786668583,1860.9593010933577,1153.3008614020116,1160.8653585115649,1157.0570862348168,1231.0247384904399,1212.066593493428,1189.1204203376972,1198.452402297345,1193.7543070149554,1393.327846084633,1325.4757246095896,2099.4701769580556,1928.8513590484595,1939.7020187338721,68.24752716383844,1979.5534739776392,39.34624288899227,1881.1878667551584,1889.109042825534
0,20,2163,3927970381,37,2621843,True,1527904915,37.0,93.0,28.0,21.0,64.0,85.0,38.0,46.0,26.0,43.0,94049589.0,26316691.0,94338967.0,109512357.0,87586992.0,82262664.0,34505203.0,105248644.0,101356886.0,72312627.0,CHINA DOTA2 SUPER MAJOR,Team. Spirit,Team Liquid,1059.0411790411756,1061.954514453104,1060.4878241600898,1035.6886222380697,1042.2442699007981,1103.1482931956361,1108.2380556313972,1105.6756643846793,1048.8568663770589,1065.3131976006741,2039.857262027039,1799.6391567679534,1668.6161331502512,96.0872421036343,1827.7180118143408,45.68862790373896,1713.4964420549934,1691.0806665829994,1165.3486405176245,1173.5076247648437,1169.4000637379686,1256.2852333200449,1205.3907448489904,1222.5455069678542,1233.526820633064,1227.9983853930426,1395.8713215260677,1299.7806766418882,2160.8158934010817,1940.2091240830314,1857.0785309949447,88.24270772722008,2035.2773309710783,41.54733442241884,1931.4089949150311,1926.8315501303541
0,13,36,3927970658,22,1375614,True,1527904932,51.0,25.0,48.0,3.0,57.0,30.0,77.0,39.0,86.0,69.0,139876032.0,149486894.0,117281554.0,82327674.0,87012746.0,106809101.0,114619230.0,70388657.0,82305765.0,89550641.0,CHINA DOTA2 SUPER MAJOR,Newbee,Natus Vincere,1129.1639054621962,1135.5373855626453,1132.3287191805412,1122.9260772781768,1139.359311718635,1183.7861146342193,1192.854879938028,1188.289298513294,1223.8620840067474,1237.7279533105548,2083.267390365745,1932.9276393838836,1919.4803112754068,60.13590039274463,1963.8630626857562,38.05475025925712,1868.7261870376133,1871.2614405410989,1058.2437315798838,1061.1177176433428,1059.6708373959552,1071.5974391352386,1064.6986908624424,1090.5712157121877,1095.0403732446227,1092.7904194823693,1111.3367383658078,1100.6089226676925,1835.7779685284283,1537.4438348634553,1567.1935182154557,119.33365346598916,1814.9810811206075,44.86566991977211,1702.8169063211772,1721.936466002559
0,40,2108395,3928022579,31,1883502,False,1527908147,3.0,52.0,47.0,38.0,103.0,85.0,64.0,43.0,72.0,78.0,134556694.0,132851371.0,106573901.0,92423451.0,159020918.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,CHINA DOTA2 SUPER MAJOR,Virtus.pro,TNC Predator,1294.7279139804941,1247.9350033206513,1289.4151570443069,1257.785055245483,1227.2271575322834,1460.3050586045622,1366.7594692709133,1448.518352316811,1375.2091175643136,1314.6789111802655,2318.7457988798924,2110.0775800662655,2075.279628906176,83.46728752545083,2084.035867715337,42.67825000400749,1977.3402427053184,1969.7741082523012,1172.3592171578164,1180.8641321861548,1176.5824156821436,1242.7399965492805,1205.9030136437837,1232.111009044248,1243.5643240546992,1237.798264341876,1365.6118158106885,1295.5022167347008,2185.409127255085,1959.7735398085642,1815.6006949595358,90.25423497860832,1957.132696760183,38.86761251442951,1859.9636654741093,1839.2931576408378
0,14,2621843,3928032584,23,2163,True,1527908700,64.0,55.0,106.0,88.0,43.0,37.0,12.0,78.0,16.0,49.0,82262664.0,34505203.0,105248644.0,101356886.0,72312627.0,94049589.0,26316691.0,94338967.0,109512357.0,87586992.0,CHINA DOTA2 SUPER MAJOR,Team Liquid,Team. Spirit,1165.3486405176245,1173.5076247648437,1169.4000637379686,1256.2852333200449,1205.3907448489904,1222.5455069678542,1233.526820633064,1227.9983853930426,1395.8713215260677,1299.7806766418882,2160.8158934010817,1940.2091240830314,1857.0785309949447,88.24270772722008,2035.2773309710783,41.54733442241884,1931.4089949150311,1926.8315501303541,1059.0411790411756,1061.954514453104,1060.4878241600898,1035.6886222380697,1042.2442699007981,1103.1482931956361,1108.2380556313972,1105.6756643846793,1048.8568663770589,1065.3131976006741,2039.857262027039,1799.6391567679534,1668.6161331502512,96.0872421036343,1827.7180118143408,45.68862790373896,1713.4964420549934,1691.0806665829994
0,31,1375614,3928033510,32,36,False,1527908754,87.0,54.0,72.0,100.0,78.0,15.0,49.0,64.0,89.0,57.0,106809101.0,114619230.0,70388657.0,82305765.0,89550641.0,117281554.0,149486894.0,82327674.0,139876032.0,87012746.0,CHINA DOTA2 SUPER MAJOR,Natus Vincere,Newbee,1058.2437315798838,1061.1177176433428,1059.6708373959552,1071.5974391352386,1064.6986908624424,1090.5712157121877,1095.0403732446227,1092.7904194823693,1111.3367383658078,1100.6089226676925,1835.7779685284283,1537.4438348634553,1567.1935182154557,119.33365346598916,1814.9810811206075,44.86566991977211,1702.8169063211772,1721.936466002559,1129.1639054621962,1135.5373855626453,1132.3287191805412,1122.9260772781768,1139.359311718635,1183.7861146342193,1192.854879938028,1188.289298513294,1223.8620840067474,1237.7279533105548,2083.267390365745,1932.9276393838836,1919.4803112754068,60.13590039274463,1963.8630626857562,38.05475025925712,1868.7261870376133,1871.2614405410989
0,49,726228,3928034802,22,39,False,1527908827,49.0,40.0,53.0,52.0,51.0,15.0,100.0,62.0,39.0,57.0,111620041.0,86745912.0,94155156.0,41231571.0,25907144.0,137193239.0,89423756.0,113800818.0,107803494.0,134276083.0,CHINA DOTA2 SUPER MAJOR,Evil Geniuses,Vici Gaming,1080.2543671354306,1084.2144487858072,1082.2207843102478,1167.9200275685673,1133.0581511160415,1055.2886090341312,1058.0167771566387,1056.6433075291427,1213.3356856816545,1151.0416782333004,1870.8407978662945,1617.044493873708,1639.8677966273344,101.5185215970346,1949.7702313364737,44.549777867156244,1838.395786668583,1860.9593010933577,1153.3008614020116,1160.8653585115649,1157.0570862348168,1231.0247384904399,1212.066593493428,1189.1204203376972,1198.452402297345,1193.7543070149554,1393.327846084633,1325.4757246095896,2099.4701769580556,1928.8513590484595,1939.7020187338721,68.24752716383844,1979.5534739776392,39.34624288899227,1881.1878667551584,1889.109042825534
0,37,2621843,3928080962,38,2163,True,1527911537,3.0,96.0,44.0,103.0,43.0,75.0,72.0,78.0,91.0,25.0,82262664.0,34505203.0,105248644.0,101356886.0,72312627.0,94049589.0,26316691.0,94338967.0,109512357.0,87586992.0,CHINA DOTA2 SUPER MAJOR,Team Liquid,Team. Spirit,1165.3486405176245,1173.5076247648437,1169.4000637379686,1256.2852333200449,1205.3907448489904,1222.5455069678542,1233.526820633064,1227.9983853930426,1395.8713215260677,1299.7806766418882,2160.8158934010817,1940.2091240830314,1857.0785309949447,88.24270772722008,2035.2773309710783,41.54733442241884,1931.4089949150311,1926.8315501303541,1059.0411790411756,1061.954514453104,1060.4878241600898,1035.6886222380697,1042.2442699007981,1103.1482931956361,1108.2380556313972,1105.6756643846793,1048.8568663770589,1065.3131976006741,2039.857262027039,1799.6391567679534,1668.6161331502512,96.0872421036343,1827.7180118143408,45.68862790373896,1713.4964420549934,1691.0806665829994
0,14,2108395,3928102591,43,1883502,True,1527917123,87.0,54.0,4.0,38.0,16.0,85.0,64.0,72.0,93.0,88.0,134556694.0,132851371.0,106573901.0,92423451.0,159020918.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,CHINA DOTA2 SUPER MAJOR,Virtus.pro,TNC Predator,1294.7279139804941,1247.9350033206513,1289.4151570443069,1257.785055245483,1227.2271575322834,1460.3050586045622,1366.7594692709133,1448.518352316811,1375.2091175643136,1314.6789111802655,2318.7457988798924,2110.0775800662655,2075.279628906176,83.46728752545083,2084.035867715337,42.67825000400749,1977.3402427053184,1969.7741082523012,1172.3592171578164,1180.8641321861548,1176.5824156821436,1242.7399965492805,1205.9030136437837,1232.111009044248,1243.5643240546992,1237.798264341876,1365.6118158106885,1295.5022167347008,2185.409127255085,1959.7735398085642,1815.6006949595358,90.25423497860832,1957.132696760183,38.86761251442951,1859.9636654741093,1839.2931576408378
