,radiant_Disabler,radiant_Nuker,radiant_Carry,radiant_Initiator,radiant_Escape,radiant_Durable,radiant_Support,radiant_Pusher,radiant_Jungler,dire_Disabler,dire_Nuker,dire_Carry,dire_Initiator,dire_Escape,dire_Durable,dire_Support,dire_Pusher,dire_Jungler,match_id
0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,3.0,2.0,4.0,1.0,4.0,2.0,1.0,0.0,1.0,2897064589
1,4.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,0.0,1.0,2897074199
2,3.0,3.0,2.0,3.0,4.0,2.0,1.0,0.0,1.0,4.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2897155244
3,4.0,4.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,5.0,5.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,2897190211
4,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,2897294037
5,2.0,4.0,2.0,1.0,3.0,1.0,3.0,1.0,0.0,5.0,4.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,2897415426
6,1.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,0.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,0.0,1.0,2897508853
7,5.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,4.0,5.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,2897669822
8,5.0,4.0,4.0,3.0,3.0,1.0,4.0,2.0,0.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2897839994
9,4.0,4.0,2.0,3.0,1.0,3.0,3.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2898057696
10,5.0,3.0,3.0,3.0,4.0,1.0,1.0,0.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2899199807
11,4.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,5.0,3.0,2.0,2.0,1.0,3.0,3.0,0.0,1.0,2899277641
12,4.0,5.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,5.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,0.0,2899438605
13,5.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,4.0,3.0,1.0,1.0,0.0,2899561092
14,4.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,0.0,5.0,4.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,2899672816
15,4.0,4.0,2.0,2.0,1.0,3.0,3.0,0.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,2899868494
16,4.0,3.0,3.0,2.0,4.0,1.0,1.0,2.0,0.0,5.0,3.0,2.0,3.0,3.0,1.0,1.0,0.0,3.0,2900041187
17,4.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,0.0,5.0,3.0,3.0,2.0,4.0,1.0,2.0,1.0,2.0,2900244171
18,4.0,4.0,2.0,3.0,3.0,2.0,2.0,0.0,1.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,2900410744
19,5.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,0.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,0.0,1.0,2901935479
20,5.0,5.0,3.0,1.0,3.0,3.0,2.0,0.0,0.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,2902067614
