,radiant_win,Disabler_radiant,Disabler_dire,Nuker_radiant,Nuker_dire,Carry_radiant,Carry_dire,Initiator_radiant,Initiator_dire,Escape_radiant,Escape_dire,Durable_radiant,Durable_dire,Support_radiant,Support_dire,Pusher_radiant,Pusher_dire,Jungler_radiant,Jungler_dire
0,1,4,5,3,4,3,1,1,3,2,2.0,2,1.0,1,3.0,0,1.0,2,1.0
1,0,3,4,4,5,2,2,2,2,1,3.0,2,3.0,3,1.0,1,1.0,1,0.0
2,1,4,4,4,4,3,2,1,1,2,1.0,2,2.0,2,2.0,0,0.0,1,0.0
3,1,4,4,5,4,1,3,2,2,3,2.0,2,2.0,2,3.0,0,0.0,1,0.0
4,0,3,3,4,2,2,1,2,2,3,2.0,1,3.0,3,1.0,0,2.0,0,2.0
5,0,3,3,4,4,2,3,2,1,4,1.0,1,3.0,2,2.0,2,3.0,2,1.0
6,0,4,3,4,3,2,4,3,4,2,1.0,2,2.0,3,2.0,1,3.0,1,0.0
7,1,3,4,3,5,3,1,1,2,1,0.0,1,3.0,2,2.0,1,0.0,2,0.0
8,1,3,3,4,3,3,2,1,2,3,2.0,3,1.0,2,2.0,1,2.0,0,0.0
9,1,5,3,5,4,1,3,2,2,0,3.0,4,2.0,3,2.0,1,2.0,1,0.0
10,0,4,4,4,5,4,2,2,2,2,2.0,1,2.0,3,3.0,1,1.0,0,1.0
11,1,4,4,5,4,2,3,2,1,1,2.0,1,2.0,2,3.0,0,0.0,1,1.0
12,0,2,5,4,5,2,2,1,2,2,0.0,3,2.0,1,3.0,0,2.0,1,1.0
13,1,5,4,5,3,1,3,2,2,2,2.0,2,3.0,3,2.0,1,2.0,1,2.0
14,1,5,4,5,4,4,3,3,1,1,2.0,2,2.0,3,2.0,1,1.0,0,0.0
15,1,3,4,4,3,3,2,3,2,3,3.0,1,1.0,2,1.0,2,1.0,1,1.0
16,0,3,5,2,5,3,1,1,3,2,0.0,3,1.0,3,3.0,3,3.0,2,1.0
17,1,5,3,5,3,2,3,1,3,3,1.0,2,3.0,4,2.0,1,1.0,0,0.0
18,0,2,5,4,4,2,2,2,2,2,4.0,3,1.0,2,3.0,0,1.0,0,1.0
19,1,5,3,5,4,1,3,3,2,3,3.0,1,1.0,3,1.0,0,1.0,1,1.0
20,1,4,4,5,5,2,3,2,2,3,1.0,1,2.0,2,3.0,0,2.0,1,0.0
21,0,4,3,5,4,2,3,2,1,1,3.0,1,0.0,2,3.0,1,2.0,1,2.0
22,1,4,1,3,4,3,2,2,1,3,2.0,1,2.0,2,3.0,0,0.0,2,0.0
23,0,5,3,4,5,2,2,2,2,0,3.0,3,0.0,3,2.0,4,2.0,1,1.0
24,1,2,3,4,4,4,2,2,2,1,2.0,2,3.0,2,3.0,0,1.0,1,0.0
25,0,5,4,5,4,3,1,2,2,3,1.0,1,3.0,2,3.0,0,2.0,0,0.0
26,1,3,3,4,3,4,2,2,3,0,3.0,3,1.0,3,1.0,1,2.0,1,0.0
27,1,4,2,4,5,3,3,2,2,4,1.0,0,2.0,3,2.0,1,2.0,0,1.0
28,1,5,2,5,4,3,3,3,1,2,4.0,2,0.0,3,2.0,2,0.0,0,0.0
29,0,1,5,5,4,3,3,0,2,4,2.0,1,0.0,1,4.0,2,2.0,1,0.0
30,1,4,4,2,4,2,3,1,3,3,2.0,2,1.0,3,3.0,2,0.0,3,1.0
31,0,5,3,5,5,3,0,3,2,2,1.0,2,3.0,3,3.0,0,1.0,1,0.0
32,1,5,2,5,5,1,4,3,1,2,1.0,1,2.0,4,1.0,2,1.0,0,0.0
33,1,4,4,4,5,4,1,1,3,3,2.0,1,1.0,2,3.0,0,1.0,1,0.0
34,0,2,4,4,4,3,1,1,3,2,1.0,1,1.0,1,4.0,2,2.0,1,1.0
35,0,5,4,5,5,2,3,3,2,1,0.0,3,3.0,3,3.0,1,2.0,0,0.0
36,1,3,3,2,5,3,2,1,2,1,2.0,2,2.0,3,1.0,4,0.0,2,1.0
37,1,4,5,4,5,3,2,3,2,1,1.0,3,2.0,1,5.0,2,2.0,1,0.0
38,1,4,4,3,4,3,1,1,3,2,2.0,2,2.0,2,2.0,3,2.0,2,0.0
39,1,3,3,4,5,4,2,1,2,1,2.0,1,2.0,1,3.0,4,0.0,2,0.0
40,0,4,3,4,4,3,1,2,2,2,3.0,2,1.0,3,2.0,2,1.0,1,1.0
41,0,5,2,5,3,4,3,4,1,1,2.0,4,2.0,2,2.0,1,1.0,0,2.0
42,0,4,3,4,5,4,1,3,1,1,1.0,4,3.0,3,2.0,1,2.0,1,0.0
43,1,5,4,5,3,1,5,3,3,1,2.0,1,2.0,3,2.0,1,2.0,0,0.0
44,0,4,4,2,4,2,2,1,1,3,3.0,1,3.0,2,3.0,1,1.0,1,1.0
45,0,3,3,2,4,3,3,1,2,3,1.0,1,2.0,1,2.0,2,1.0,4,0.0
46,0,4,4,3,4,3,3,3,2,1,0.0,3,3.0,1,3.0,0,2.0,0,1.0
47,0,3,2,3,4,3,3,1,2,0,2.0,2,1.0,4,1.0,1,2.0,2,1.0
48,0,4,1,3,5,3,2,2,1,1,2.0,2,1.0,3,3.0,1,0.0,1,1.0
49,0,4,5,5,4,3,2,1,4,3,1.0,1,2.0,2,4.0,1,1.0,1,0.0
50,1,2,5,4,5,2,2,1,1,2,1.0,1,2.0,2,3.0,1,0.0,0,1.0
51,1,4,2,5,3,1,4,2,1,1,4.0,3,1.0,2,1.0,2,1.0,1,0.0
52,1,4,4,5,5,1,3,3,3,1,1.0,1,3.0,3,2.0,0,2.0,1,0.0
