,id matches,patch,region,league_name,league_id,radiant_name,radiant_id,dire_name,dire_id,radiant_score,dire_score,first_ban_radiant,ban1,ban2,ban3,ban4,pick1,pick2,pick3,pick4,ban7,ban8,ban9,ban10,pick5,pick6,pick7,pick8,ban11,ban12,pick9,pick10,radiant_win
0,3181614447,20,5,BEYOND GODLIKE LEAGUE,5103,MiTH.DotA2,,5Ninjas,,12,23,1,53,5,82,83,37,86,104,97,95,76,8,11,28,114,93,70,25,74,56,34,0
0,3181698424,20,3,ProDotA Cup by Azubu,5227,Team Saphira,,4 protect five,,26,23,0,37,83,10,104,97,51,90,8,45,11,33,70,109,5,50,76,60,75,16,35,1
0,3181880636,20,3,ProDotA Cup by Azubu,5227,4 protect five,,Team Saphira,,25,35,0,83,97,104,90,37,5,109,10,34,102,35,45,110,99,65,93,87,76,22,52,0
0,3182170543,20,3,ProDotA Cup by Azubu,5227,Team Singularity,63,Spotnet,,35,41,1,11,97,90,83,51,102,87,7,70,28,74,106,71,46,98,86,1,89,80,109,0
0,3182329794,20,3,ProDotA Cup by Azubu,5227,Spotnet,,Team Singularity,63,5,26,0,55,97,11,83,5,102,37,90,99,109,70,98,60,77,95,104,17,76,106,39,0
0,3182408768,20,3,ProDotA Cup by Azubu,5227,Spotnet,,Team Singularity,63,32,42,1,97,90,51,83,55,5,69,71,37,8,98,80,106,11,62,110,54,70,44,95,0
0,3182758985,20,2,Dota 2 Challenge Mexico,4618,Chillon Lacteo,,Report Ketor,,27,9,0,97,96,74,88,79,112,84,41,48,104,109,8,29,87,54,93,47,75,17,106,1
0,3182809929,20,2,Dota 2 Challenge Mexico,4618,Report Ketor,,Chillon Lacteo,,35,47,1,29,96,73,104,16,84,26,5,54,46,8,88,80,78,55,93,34,76,13,62,0
0,3182823507,20,2,Dota 2 Challenge Mexico,4618,,,Neolutionn,,42,48,0,85,8,27,54,87,64,31,30,35,96,93,43,6,104,92,77,47,46,34,25,0
0,3182953925,20,2,Dota 2 Challenge Mexico,4618,Neolutionn,,,,18,34,0,102,85,110,27,71,86,84,96,20,104,54,2,8,35,47,107,109,97,82,16,0
0,3183066907,20,2,Dota 2 Challenge Mexico,4618,Neolutionn,,,,16,26,1,85,93,82,7,30,87,102,83,104,109,70,54,36,96,46,35,8,67,1,44,0
0,3183188850,20,12,WCA Tournament Platform Classic,5418,Newbee.Young,47,To.be.or.not.to.be,,26,21,1,88,32,27,70,97,51,37,5,46,11,8,34,18,107,25,106,54,28,95,60,1
0,3183302698,20,12,WCA Tournament Platform Classic,5418,To.be.or.not.to.be,,Newbee.Young,47,9,23,1,32,88,102,97,5,51,11,46,70,65,28,55,20,23,8,109,2,14,100,85,0
0,3183420878,20,5,ProDotA Cup Series by Azubu.tv,4665,Execration,39,MVP.Revolution,,9,21,1,107,18,88,57,97,83,104,70,5,63,37,90,87,27,95,9,25,106,76,74,0
