,id matches,patch,region,league_name,league_id,radiant_name,radiant_id,dire_name,dire_id,radiant_score,dire_score,first_ban_radiant,ban1,ban2,ban3,ban4,ban5,ban6,pick1,pick2,pick3,pick4,ban7,ban8,ban9,ban10,pick5,pick6,pick7,pick8,ban11,ban12,pick9,pick10,radiant_win
0,3534749496,21.0,12,Dota 2 Professional League 2016,4920,LGD.Forever Young,4.0,LGD-GAMING,5.0,52,24,1,6,100,92,71,53,60,3,88,58,30,44,51,43,109,74,15,114,65,63,29,103,12,1
1,3534858895,20.0,12,Dota 2 Professional League 2016,4920,iG.Vitality,32.0,LGD.Forever Young,4.0,19,26,0,88,3,90,53,66,60,107,112,7,45,68,63,13,47,51,8,92,65,75,54,85,1,1
2,3534958218,21.0,12,Dota 2 Professional League 2016,4920,LGD.Forever Young,4.0,iG.Vitality,32.0,36,29,0,53,3,60,88,43,92,107,68,84,64,51,45,106,41,35,63,20,39,28,13,29,16,1
3,3534965112,21.0,7,AEF Season 2,5491,Yellow Solo Mid Reborn,,Mavericks,,13,18,1,75,91,69,114,7,3,64,20,38,22,107,47,85,51,50,63,6,2,43,9,88,92,0
4,3535043038,21.0,7,AEF Season 2,5491,Yellow Solo Mid Reborn,,Mavericks,,16,35,0,91,6,114,38,3,50,20,28,43,96,13,53,92,64,86,18,54,75,9,65,74,40,0
5,3535098233,20.0,12,Dota 2 Professional League 2016,4920,LGD-GAMING,5.0,Invictus Gaming,23.0,23,45,0,114,3,88,60,53,37,31,41,84,43,104,68,107,108,20,7,66,69,15,35,40,6,0
6,3535216693,21.0,12,Dota 2 Professional League 2016,4920,LGD-GAMING,5.0,Invictus Gaming,23.0,26,35,0,114,31,53,3,88,60,107,62,87,65,43,63,37,20,13,64,54,18,36,15,49,106,0
7,3535367604,21.0,12,Dota 2 Professional League 2016,4920,TEAM MAX,44.0,VGJ Thunder,15.0,17,34,0,51,107,65,88,91,31,3,84,13,60,40,18,9,4,30,26,43,1,55,95,39,28,0
8,3535504826,21.0,12,Dota 2 Professional League 2016,4920,TEAM MAX,44.0,VGJ Thunder,15.0,24,41,0,51,107,65,3,91,60,7,31,69,36,88,45,39,4,100,27,43,8,9,15,97,40,0
9,3535758126,21.0,5,ESL India Premiership - 2017 Edition,5407,Five Little Chimps,,Akatsuki,,2,17,0,31,2,114,27,40,60,3,90,20,14,74,34,53,99,96,92,39,106,4,18,87,54,0
10,3536185318,21.0,3,ProDotA Cup Series,5562,M19,34.0,Clavis Aurea,,33,17,0,53,3,58,60,108,91,75,84,16,82,63,18,20,35,112,79,114,52,40,34,33,95,1
11,3536274369,21.0,3,ProDotA Cup Series,5562,Clavis Aurea,,M19,34.0,21,37,0,20,3,58,51,71,84,60,64,13,30,4,82,114,78,85,38,40,1,34,46,108,92,0
