,team_Name,current_elo32,sevenDayAgo_elo32,sevenDayAvg_elo32,thirtyDayAgo_elo32,thirtyDayAvg_elo32,current_elo64,sevenDayAgo_elo64,sevenDayAvg_elo64,thirtyDayAgo_elo64,thirtyDayAvg_elo64,mu_glicko,phi_glicko,rating_glicko,ratingSevenDaysAgo_glicko,sigma_glicko,mu_glicko2,phi_glicko2,rating_glicko2,ratingSevenDaysAgo_glicko2,sigma_glicko2
0,Newbee,1158.1790726713607,1165.9842808552637,1162.0548249363148,1225.9206453631728,1186.469048208343,1224.272627834887,1235.339164770776,1229.7678247064998,1353.6578524478841,1275.231226128923,2071.00063450748,,1674.9659782430397,1729.1769241500892,158.41386250577605,1973.5309689994845,41.81595654618414,1868.9910776340241,1872.4162839039254,
1,Comanche,924.0537226433498,920.3062199203273,922.1928636086567,1013.3372051043452,920.5099673434564,856.2981225558482,849.2072789257328,852.7770949788344,1040.451445727237,850.041250643408,1444.50529531905,,915.894304595037,955.1898760706652,211.44439628960518,1635.5079333779613,68.8087444897361,1463.486072153621,1465.4730591831558,
2,Fnatic,1135.0948067827958,1141.7609420287306,1138.4049412685365,1057.0059616865963,1142.6134085931883,1242.7269622111125,1254.7041121583763,1248.6743328567204,1122.336736184573,1256.9846247487696,2048.6562199876175,,1570.3285919415703,1614.1480845607216,191.33105121841893,1839.902192641234,52.73309721451771,1708.0694496049398,1710.7689270179721,
3,Team VGJ,959.859257112923,957.8785472149641,958.8757162909031,940.3085928055151,954.3391443798371,969.5177448764645,968.0136246212628,968.7708592907751,878.9317000420483,958.795513493963,1756.7946784015228,,1277.051078371218,1320.7282594123544,191.8974400121219,1815.295245349731,50.41692074965209,1689.2529434756007,1691.9906629811715,
4,Alliance,964.3895269163971,962.6323592250536,963.5169881577675,995.0959757460032,962.6740521898971,936.4538073351741,933.3181759607645,934.896778987552,995.3060682428077,933.655365704115,1658.165069515349,,1145.884648655349,1186.5389150280278,204.91216834399992,1764.7854255150664,51.64377040900695,1635.6759994925492,1638.36875791663,
5,LGD-GAMING,1185.292154284192,1194.435233799121,1189.8322396097474,1108.9961070032277,1172.581576465556,1319.8548183878427,1335.6377750329887,1327.691999475626,1145.9740145263418,1285.649489585482,2095.913774415981,,1718.6705089074808,1776.0505515041923,150.8973062034001,1940.1180925405204,40.887965728384664,1837.8981782195588,1841.3214479899664,
6,Team. Spirit,1058.8849543398244,1061.7905809803146,1060.3277715930803,963.8678251007573,1057.6748504892942,1136.978881964606,1143.737985254795,1140.3351806396413,943.1622797666512,1135.6616198608415,1883.8116638099295,,1410.719004784033,1455.0732073773472,189.23706361035866,1773.6729830798242,53.740790087011234,1639.321007862296,1641.880681918434,
7,Avalon_Club,1031.9604027480439,1033.5374609067305,1032.7435063612313,1039.288056043461,1035.5024680106353,1094.2819951791519,1098.934257883308,1096.5921216085765,1115.898298894701,1104.7309554955948,1821.0438785692165,,1370.8116396752366,1186.175330470448,180.09289555759202,1585.4158977877676,55.889538466814145,1445.6920516207322,1423.927930374963,
8,Geek Fam,962.7498635827884,960.9117881363659,961.8371492891042,954.2094178623721,958.62155471039,947.6883052151354,945.107030326156,946.4065479882026,935.6946527664779,941.8907738640613,1685.9903029371362,,977.7365169019085,1006.5615535945477,283.30151441409106,1715.9426149659275,62.517037434646994,1559.6500213793101,1561.8344815440305,
9,Team AD FINEM,1008.2303339118112,1008.6364525501356,1008.4319960834328,1010.1173261968174,1009.1424744776973,1010.2236141506982,1010.728089461436,1010.4741162874942,1012.5676115187234,1011.356663343689,1842.6293250718068,,967.6293250718068,967.6293250718068,350.0,1831.8590819109613,65.92732448398476,1667.0407707009995,1669.1150264196417,
10,Invictus Gaming,1092.2431649952002,1096.7948234046885,1094.5033353806941,1093.589418726599,1095.4750931850324,1151.267419071087,1158.7315777448737,1154.9738198747923,1146.416136131936,1154.770005860718,2037.1431015020278,,1623.0192985791318,1674.5158491514612,165.64952116915836,1973.5822891519517,43.080159894711635,1865.8818894151727,1869.1609844309723,
11,team_ftd_a,1025.4555774464873,1026.7116606821257,1026.0792978304657,1031.2918507698555,1028.2767345302452,1016.2356655751541,1017.0368003123742,1016.633476844137,1019.9580632336863,1018.0350104551967,1740.9587404611088,,1177.728714538598,1214.4342281156032,225.29201036900437,1684.061659659673,53.54567176999512,1550.1974802346854,1552.7622783160464,
12,TNC Pro Team,1159.0900575123926,1166.940217447602,1162.9881310079704,1146.19866064522,1175.0174638182173,1228.6914950926023,1239.9760771737876,1234.2949644081823,1209.4049171299016,1252.0590616844015,2076.6585753634527,,1607.4739463548935,1652.236360937889,187.6738516034236,1932.299317427974,46.99715015484228,1814.8064420408684,1817.7346256314083,
13,Rock Gaming,971.9805819037986,970.5979881906146,971.2940415080619,965.55648947396,968.875282878033,974.9864140317155,973.7521404795242,974.37352345881,969.2514773635003,972.2142413951701,1581.2987888358662,,966.8273448055626,1000.2866069251195,245.78857761212143,1524.6100742533733,64.91885465782367,1362.312937608814,1364.4166208479085,
14,Evil Geniuses,1155.9630482904524,1163.6589086868034,1159.7845028447898,1221.6765681134855,1184.9381152700885,1193.8078474130632,1203.3711263676437,1198.5565868695,1326.893599857443,1248.573405333175,2091.965342283691,,1663.5723032756084,1713.1242200826018,171.35721560323302,2013.3907008251583,45.664708927909004,1899.2289285053857,1902.229687196163,
15,SG e-sports,1015.8555453218975,1016.6379233572261,1016.244042767581,1019.4907917186517,1017.6127627370494,1037.9970514683719,1039.871982785622,1038.9280669042512,1046.708744546939,1042.2081384546032,1916.681732562199,,1221.7153109980418,1251.1155622217213,277.9865686256628,1796.2207646657996,63.64957987704163,1637.0968149731955,1639.242895358579,
16,Digital Chaos,1142.370510280783,1149.3956587610674,1145.85891629028,1096.0336650869672,1145.0699757813418,1264.3229758550226,1277.365762233114,1270.7994986658368,1134.4594145104134,1261.5108515973445,1978.8268891281627,,1536.0576697529245,1583.8021030372672,177.10768775009527,1924.313116307216,46.19070483022447,1808.8363542316547,1811.8192083714162,
17,mousesports,1039.7884396517272,1041.751765454247,1040.7633482315719,1025.7763567458105,1044.6926031995597,1057.0655192087563,1059.8813674118385,1058.4637561031122,1103.8261662151963,1070.127491079438,1799.9800135972882,,1340.1345173440106,1385.9052855294874,183.93819850131106,1761.4743499666608,54.943262838666634,1624.1161928699942,1626.6708964722582,
18,Effect,945.4765812812096,942.7861708064787,944.1406317145345,954.9443953711708,940.02210870771,922.0977443685576,918.2537256059597,920.1889593528817,923.3821143709118,913.3424674779117,1575.375770068909,,1048.4191913437312,1087.8480930476503,210.7826314900712,1693.1755224659232,61.50351587728523,1539.41673277271,1541.6554731547283,
19,CAVALRY,949.6180756639511,947.1320236122648,948.3836022657927,938.0668672264081,944.0344143609307,925.4586204423421,921.7804411741424,923.6321846454043,908.3683043450571,917.197446975967,1572.3434755803316,,957.2722019839271,990.6969578365191,246.02850943856185,1567.6583316713018,59.79758993283201,1418.1643568392217,1420.4540673536446,
20,We.are.young,922.3644417858206,918.5335829743384,920.462191472249,904.5647144646596,913.7603507779515,866.5002529050277,859.9128244862284,863.2292010621009,835.89238261473,851.7049194269869,1450.6413333623489,,808.0770872650381,839.9951097904633,257.0256984389243,1558.7369194272753,56.61099065672433,1417.2094427854645,1419.6382008416072,
