,radiant_id,dire_id,radiant1,radiant2,radiant3,radiant4,radiant5,dire1,dire2,dire3,dire4,dire5,radiant_win
0,70.0,59.0,97,112,106,66,104,75,18,28,65,70,1
0,59.0,70.0,28,110,29,95,11,32,92,54,74,55,0
0,29.0,23.0,37,51,55,49,48,64,16,77,88,76,1
0,23.0,29.0,16,8,87,34,33,64,55,28,95,25,0
0,18.0,33.0,71,55,92,46,93,27,7,20,10,17,1
0,33.0,18.0,71,86,11,51,77,102,3,63,6,9,1
0,17.0,57.0,3,38,28,63,76,51,64,107,109,25,1
0,17.0,57.0,37,109,38,60,13,51,64,25,65,10,0
0,51.0,44.0,55,106,83,87,54,27,28,8,25,108,0
0,44.0,51.0,51,101,34,48,83,11,84,37,16,67,1
0,12.0,8.0,83,87,65,95,39,64,16,70,23,74,0
0,8.0,12.0,16,64,63,29,39,5,51,70,86,49,1
0,8.0,16.0,37,109,100,9,16,55,28,50,74,41,0
0,8.0,16.0,5,57,28,11,98,91,100,80,33,76,0
0,17.0,1.0,51,64,39,88,95,55,114,86,25,8,0
0,1.0,17.0,51,64,33,39,95,55,87,100,44,25,1
0,57.0,33.0,71,104,106,93,112,37,109,38,3,75,1
0,33.0,57.0,37,38,39,62,94,51,11,64,60,15,0
0,21.0,57.0,37,109,62,88,13,84,97,87,95,93,1
0,57.0,21.0,71,8,86,65,25,55,28,3,95,54,1
0,26.0,77.0,3,16,63,102,46,107,25,65,92,70,1
0,77.0,26.0,25,65,28,27,93,5,46,16,102,81,1
0,8.0,12.0,64,16,71,34,81,84,39,63,6,65,0
0,12.0,8.0,3,25,23,54,2,85,16,43,88,15,1
0,18.0,1.0,51,39,5,86,10,11,50,3,96,8,0
0,1.0,18.0,51,106,64,88,94,55,28,37,18,74,1
0,17.0,18.0,51,64,8,35,60,86,16,95,57,17,0
0,17.0,18.0,20,95,65,71,106,64,16,70,28,63,0
0,17.0,33.0,37,107,55,93,49,95,86,71,88,76,1
0,17.0,33.0,51,64,88,70,46,86,71,55,41,15,1
0,23.0,16.0,23,18,52,33,106,55,28,50,109,76,1
0,23.0,16.0,23,43,5,104,15,99,37,28,80,34,0
0,23.0,16.0,64,107,88,1,25,55,100,74,41,14,0
0,29.0,12.0,88,65,30,39,48,84,95,86,93,57,1
0,12.0,29.0,39,3,77,29,23,28,25,55,18,34,0
