,id matches,patch,region,league_name,league_id,radiant_name,radiant_id,dire_name,dire_id,radiant_score,dire_score,first_ban_radiant,ban1,ban2,ban3,ban4,pick1,pick2,pick3,pick4,ban7,ban8,ban9,ban10,pick5,pick6,pick7,pick8,ban11,ban12,pick9,pick10,radiant_win
0,867815943,20.0,3.0,SLTV Star Series Season 10 Ticket,1803,Natus Vincere,17.0,TEAMERINO TINKERINO,,0,0,0,65,91,77,43,101,15,41,47,68,9,40,16,53,96,20,106,33,87,3,27,1
1,867938727,20.0,3.0,SLTV Star Series Season 10 Ticket,1803,,,Natus Vincere,17.0,0,0,0,41,77,15,65,101,53,47,43,33,94,6,78,69,83,27,63,51,86,37,55,1
2,868426887,20.0,18.0,Excellent Moscow Cup Season 2 Ticket,1761,Hyper Glory Team,,LGD-GAMING,5.0,0,0,1,77,69,15,43,41,27,65,29,47,68,78,74,31,9,10,58,79,54,99,86,0
3,868477082,20.0,18.0,Excellent Moscow Cup Season 2 Ticket,1761,LGD-GAMING,5.0,Hyper Glory Team,,0,0,1,43,15,69,77,27,78,101,65,53,58,10,49,88,47,42,100,80,74,85,106,1
4,869056634,20.0,5.0,MSI Beat IT 2014,1350,Dream Five ID,,,,0,0,0,43,34,69,77,78,15,41,27,101,47,87,96,29,7,75,98,63,88,42,35,1
5,869419118,20.0,3.0,Dota 2 Champion's League Season 4 Ticket,1712,Natus Vincere,17.0,Alliance,,0,0,1,78,15,41,101,77,43,65,20,83,45,93,40,27,9,7,69,3,48,47,39,1
6,869508123,20.0,3.0,Dota 2 Champion's League Season 4 Ticket,1712,Alliance,,Natus Vincere,17.0,0,0,1,101,78,77,53,15,65,43,69,9,27,7,93,79,86,20,52,47,48,50,92,1
7,869608186,20.0,8.0,Excellent Moscow Cup Season 2 Ticket,1761,Moscow Five RUS,,Fnatic,7.0,0,0,1,82,15,34,43,101,78,27,42,77,47,96,65,53,29,9,13,10,7,1,63,0
8,869638422,20.0,3.0,Dota 2 Champion's League Season 4 Ticket,1712,TEAMERINO TINKERINO,,Team Empire,21.0,0,0,1,77,91,101,43,15,7,9,78,41,47,96,27,65,31,34,10,88,45,92,3,0
9,869700555,20.0,8.0,Excellent Moscow Cup Season 2 Ticket,1761,Fnatic,7.0,Moscow Five RUS,,0,0,1,43,34,65,82,15,101,78,27,47,96,42,69,53,41,21,9,29,18,16,7,1
10,869714480,20.0,3.0,Dota 2 Champion's League Season 4 Ticket,1712,Team Empire,21.0,TEAMERINO TINKERINO,,0,0,1,91,9,77,7,43,41,101,42,47,15,34,50,53,68,21,96,20,86,16,33,1
11,869785354,20.0,2.0,SLTV Star Series Season 10 Ticket,1803,DreamDestroyers,,Natus Vincere US,,0,0,1,77,78,41,69,43,47,7,101,68,42,89,15,53,96,86,20,106,74,73,67,0
12,869825554,20.0,2.0,MSI Beat IT 2014,1350,Sneaky Nyx Assassins,,Flip.Sid3 Tactics NA,,0,0,1,69,77,43,27,78,101,15,47,14,9,41,7,29,20,42,64,96,95,10,53,1
13,869855301,20.0,2.0,MSI Beat IT 2014,1350,Flip.Sid3 Tactics NA,,Sneaky Nyx Assassins,,0,0,1,77,69,41,47,78,43,101,96,15,9,7,95,42,45,73,34,68,51,48,86,0
14,869936356,20.0,2.0,MSI Beat IT 2014,1350,RTK GAMING,,Natus Vincere US,,0,0,1,47,78,77,15,69,43,9,50,29,53,7,41,68,79,96,64,49,42,86,34,0
15,869974302,20.0,2.0,MSI Beat IT 2014,1350,Natus Vincere US,,RTK GAMING,,0,0,1,69,47,41,77,15,68,7,101,34,86,96,51,45,29,9,42,78,53,2,35,1
16,870143708,20.0,17.0,Excellent Moscow Cup Season 2 Ticket,1761,,,Newbee,12.0,0,0,1,77,15,43,29,69,78,27,101,7,47,53,68,10,54,31,16,106,65,96,93,0
17,870188231,20.0,18.0,Excellent Moscow Cup Season 2 Ticket,1761,Newbee,12.0,,,0,0,1,15,77,29,43,27,69,47,78,101,96,86,42,9,53,7,48,79,106,30,58,1
18,870572250,20.0,18.0,Excellent Moscow Cup Season 2 Ticket,1761,,,Hyper Glory Team,,0,0,1,41,15,27,43,77,29,69,53,33,78,74,58,101,20,34,88,47,7,65,9,1
19,870605618,20.0,3.0,Excellent Moscow Cup Season 2 Ticket,1761,MeetYourMakers.Dota2,,Natus Vincere,17.0,0,0,0,15,65,34,77,101,27,47,69,78,41,7,43,42,9,51,3,91,48,60,40,0
20,870634603,20.0,5.0,MSI Beat IT 2014,1350,First Departure,,TEAM Let'sGo,,0,0,0,43,77,47,78,65,41,27,34,69,15,57,29,64,101,51,42,86,49,30,99,0
21,870710983,20.0,3.0,Excellent Moscow Cup Season 2 Ticket,1761,Natus Vincere,17.0,MeetYourMakers.Dota2,,0,0,0,65,77,43,15,101,41,9,29,68,69,78,45,34,42,20,79,106,7,53,47,1
22,870728030,,18.0,Excellent Moscow Cup Season 2 Ticket,1761,Hyper Glory Team,,,,0,0,1,77,43,27,41,15,69,78,29,74,33,47,101,31,96,10,9,26,86,87,68,1
23,870779608,20.0,18.0,Excellent Moscow Cup Season 2 Ticket,1761,,,Hyper Glory Team,,0,0,1,41,77,43,15,27,78,96,47,68,29,101,69,9,65,30,7,74,86,53,8,1
24,870836700,20.0,3.0,Excellent Moscow Cup Season 2 Ticket,1761,Moscow Five RUS,,MeetYourMakers.Dota2,,0,0,0,27,77,43,15,101,78,42,96,20,47,9,13,65,7,10,76,63,68,52,69,0
25,871013314,20.0,3.0,Dota 2 Champion's League Season 4 Ticket,1712,Alliance,,TEAMERINO TINKERINO,,0,0,1,91,43,77,7,15,78,53,101,9,96,27,29,48,65,79,20,63,50,52,69,0
26,871088236,20.0,3.0,Dota 2 Champion's League Season 4 Ticket,1712,Alliance,,TEAMERINO TINKERINO,,0,0,1,91,43,78,15,77,41,101,9,27,7,47,79,64,29,42,20,53,74,34,45,0
27,871205962,20.0,3.0,Excellent Moscow Cup Season 2 Ticket,1761,_PowerRangers,,APETACO,,0,0,0,15,77,69,43,41,65,47,101,7,27,64,9,33,20,78,34,53,87,79,74,1
28,871257565,20.0,3.0,Excellent Moscow Cup Season 2 Ticket,1761,APETACO,,_PowerRangers,,0,0,0,78,77,15,69,43,41,65,20,68,53,101,27,7,9,39,47,29,33,75,99,0
29,871410550,20.0,2.0,MSI Beat IT 2014,1350,Not Today,,CNB HyperX,,0,0,1,77,78,65,69,15,41,101,43,47,27,74,16,7,9,96,42,29,46,35,45,1
30,871483901,20.0,10.0,MSI Beat IT 2014,1350,Not Today,,CNB HyperX,,0,0,1,65,78,15,43,77,47,27,96,29,74,53,101,73,7,16,64,35,99,98,46,1
31,871502003,20.0,2.0,SLTV Star Series Season 10 Ticket,1803,Sneaky Nyx Assassins,,DreamDestroyers,,0,0,1,69,77,43,47,78,15,41,101,9,96,34,7,30,27,83,65,35,63,103,48,1
32,871543948,20.0,2.0,SLTV Star Series Season 10 Ticket,1803,Sneaky Nyx Assassins,,CNB HyperX,,0,0,1,77,15,69,78,101,74,27,47,53,41,43,42,7,96,29,8,16,63,1,46,1
33,871736963,20.0,18.0,Excellent Moscow Cup Season 2 Ticket,1761,LGD-GAMING,5.0,Newbee,12.0,0,0,1,78,77,43,15,27,69,41,65,74,10,58,80,86,101,64,89,47,45,72,96,1
34,871798819,20.0,18.0,Excellent Moscow Cup Season 2 Ticket,1761,Newbee,12.0,LGD-GAMING,5.0,0,0,1,41,77,78,43,27,69,15,74,65,58,29,96,86,7,68,48,51,49,53,99,1
35,871849195,,18.0,Excellent Moscow Cup Season 2 Ticket,1761,LGD-GAMING,5.0,Newbee,12.0,0,0,1,78,77,43,27,69,65,15,74,58,53,7,79,86,20,46,64,47,101,52,106,0
36,871994365,20.0,5.0,SLTV Star Series Season 10 Ticket,1803,Trust,,Titan,,0,0,1,77,78,47,69,15,74,41,65,101,10,79,86,9,20,3,89,30,96,43,57,0
37,872081851,20.0,5.0,SLTV Star Series Season 10 Ticket,1803,Awake ;),,Nvidia.ArrowGaming.AVF,,0,0,1,78,15,77,69,41,101,47,34,29,30,27,68,65,20,96,75,51,83,43,57,0
38,872152311,20.0,17.0,Excellent Moscow Cup Season 2 Ticket,1761,LGD-GAMING,5.0,,,0,0,1,43,77,69,27,65,47,101,15,41,96,78,10,29,86,16,33,80,93,9,74,0
39,872228944,20.0,5.0,MSI Beat IT 2014,1350,MSI-EvoGT.TRIC,,.MouseHunt Gaming.,,0,0,0,34,77,69,15,43,47,101,27,41,96,29,68,53,7,8,78,63,46,64,82,1
40,872299624,20.0,18.0,Excellent Moscow Cup Season 2 Ticket,1761,,,LGD-GAMING,5.0,0,0,1,65,77,43,27,15,69,53,101,74,41,47,29,68,16,20,54,51,78,106,13,1
41,872364157,20.0,5.0,SLTV Star Series Season 10 Ticket,1803,MSI-EvoGT.TRIC,,Titan,,0,0,1,41,69,15,47,101,78,70,96,77,74,58,43,53,7,86,34,9,45,22,98,0
42,872484037,20.0,3.0,SLTV Star Series Season 10 Ticket,1803,xGame.kz,,TEAMERINO TINKERINO,,0,0,1,34,78,41,9,27,77,43,53,69,58,101,7,79,96,52,86,48,65,50,68,0
43,872542222,20.0,3.0,Dota 2 Champion's League Season 4 Ticket,1712,_PowerRangers,,Alliance,,0,0,1,77,15,53,101,78,43,69,65,27,7,20,86,9,3,79,47,83,41,93,33,1
44,872590955,20.0,3.0,Excellent Moscow Cup Season 2 Ticket,1761,NAM VEZET-MI IGRAEM,,APETACO,,0,0,0,69,15,77,34,7,101,78,65,42,43,16,47,13,27,92,41,96,6,48,72,1
