,id matches,patch,region,league_name,league_id,radiant_name,radiant_id,dire_name,dire_id,radiant_score,dire_score,first_ban_radiant,ban1,ban2,ban3,ban4,pick1,pick2,pick3,pick4,ban7,ban8,ban9,ban10,pick5,pick6,pick7,pick8,ban11,ban12,pick9,pick10,radiant_win
0,2691452197,20.0,3,World Electronic Sports Games International,4972,Team DK ,,NecroRaisers,,27,14,1,65,79,111,66,76,88,87,84,55,109,41,74,16,50,44,29,59,93,18,73,1
1,2691465961,20.0,3,World Electronic Sports Games International,4972,AnimalGamers,,Fantastic Five,,16,33,0,6,91,31,76,55,79,9,16,74,48,8,59,103,44,10,27,93,2,63,41,0
2,2691543922,20.0,3,World Electronic Sports Games International,4972,Team DK ,,Horde,,21,44,0,66,19,79,65,76,84,16,91,41,18,6,15,25,111,68,28,54,10,70,67,0
3,2691583645,20.0,3,World Electronic Sports Games International,4972,AnimalGamers,,NecroRaisers,,40,45,0,79,91,55,76,41,6,111,109,44,94,87,9,2,20,103,84,73,46,74,98,0
4,2691749029,20.0,3,World Electronic Sports Games International,4972,Fantastic Five,,NecroRaisers,,26,19,0,73,76,41,6,16,55,111,87,59,103,88,10,32,109,13,106,28,8,57,63,1
5,2691754513,20.0,3,World Electronic Sports Games International,4972,Horde,,AnimalGamers,,53,32,1,103,91,6,76,79,9,84,16,48,41,23,2,10,32,3,93,17,98,46,14,1
6,2691941687,20.0,3,World Electronic Sports Games International,4972,TEAM XENEX,,LEVEL UP,,9,31,1,91,6,65,16,23,79,76,88,74,10,111,84,48,41,2,112,34,32,35,103,0
7,2691969159,20.0,3,World Electronic Sports Games International,4972,?omanche,42.0,,,11,29,1,79,91,98,111,84,76,23,31,48,6,88,57,50,96,29,101,34,18,1,59,0
8,2692217005,20.0,3,World Electronic Sports Games International,4972,?omanche,42.0,Wombat-Gaming,,27,16,1,55,16,6,76,91,79,23,29,73,48,59,10,8,62,28,17,18,46,44,39,1
9,2692236327,20.0,3,World Electronic Sports Games International,4972,,,LEVEL UP,,51,26,1,91,6,41,76,111,79,2,29,59,48,23,9,103,71,44,17,8,74,94,1,1
10,2692361113,20.0,3,World Electronic Sports Games International,4972,Team Ukraine,,Zero Hoots Given,,18,6,0,58,76,91,6,65,79,88,44,111,10,73,93,66,74,8,84,54,97,90,48,1
11,2692479148,20.0,3,World Electronic Sports Games International,4972,Que La Famille,,Vlajnaya Mol',,23,25,1,79,23,76,41,103,16,57,6,111,93,65,44,90,50,81,17,2,34,28,56,1
12,2692612798,20.0,3,World Electronic Sports Games International,4972,Que La Famille,,Zero Hoots Given,,21,6,1,79,6,74,23,103,76,88,8,41,111,28,9,84,97,86,75,17,93,54,56,1
13,2692615185,20.0,3,World Electronic Sports Games International,4972,Romania,,Vlajnaya Mol',,27,10,0,23,76,55,57,16,98,111,90,56,59,74,6,60,103,17,1,9,18,73,54,1
14,2692761389,20.0,3,World Electronic Sports Games International,4972,Butterfly Effect,,WOOF,,5,31,1,6,23,91,65,76,88,9,111,89,79,16,8,103,84,30,2,59,10,54,18,0
15,2692794991,20.0,3,World Electronic Sports Games International,4972,Danish Bears,,Alliance,,19,34,1,16,79,76,6,65,91,8,96,111,55,30,93,84,71,97,35,90,54,86,104,0
16,2692910644,20.0,3,World Electronic Sports Games International,4972,Danish Bears,,WOOF,,35,20,1,9,61,88,65,6,84,23,76,29,44,91,55,54,41,51,14,111,79,30,75,1
17,2692918404,20.0,3,World Electronic Sports Games International,4972,Team Alternate Attax,,Butterfly Effect,,32,15,1,111,23,88,76,103,91,19,10,79,68,87,2,65,28,50,84,8,59,17,98,1
