,id matches,patch,region,league_name,league_id,radiant_name,radiant_id,dire_name,dire_id,radiant_score,dire_score,first_ban_radiant,ban1,ban2,ban3,ban4,ban5,ban6,pick1,pick2,pick3,pick4,ban7,ban8,ban9,ban10,pick5,pick6,pick7,pick8,ban11,ban12,pick9,pick10,radiant_win
0,3537526907,21,3,AMD SAPPHIRE Dota PIT,5690,SG e-sports team,54.0,Newbee,12.0,25,12,1,88,60,107,38,3,91,9,53,16,50,109,1,18,43,87,62,39,55,106,12,42,8,1
0,3537662528,21,3,AMD SAPPHIRE Dota PIT,5690,Newbee,12.0,SG e-sports team,54.0,28,15,0,107,62,3,60,38,91,16,53,71,85,50,43,1,106,70,86,112,15,17,12,74,46,1
0,3537800215,21,3,AMD SAPPHIRE Dota PIT,5690,SG e-sports team,54.0,Newbee,12.0,22,36,1,107,62,3,60,88,38,91,112,71,85,17,43,106,53,13,64,54,41,76,47,9,39,0
0,3538073823,21,3,AMD SAPPHIRE Dota PIT,5690,Immortals,35.0,Team Liquid,16.0,36,32,0,60,91,112,40,71,36,3,9,88,86,61,4,1,45,87,47,96,8,53,95,78,12,0
0,3538209536,21,3,AMD SAPPHIRE Dota PIT,5690,Team Liquid,16.0,Immortals,35.0,35,19,0,53,60,55,112,90,3,40,47,86,31,71,78,4,1,107,62,13,109,43,67,20,93,1
0,3538372616,21,3,AMD SAPPHIRE Dota PIT,5690,Team Liquid,16.0,Newbee,12.0,40,32,1,39,60,13,38,107,53,3,112,71,14,47,81,9,43,55,36,72,1,78,4,88,11,1
0,3538465716,21,3,AMD SAPPHIRE Dota PIT,5690,Newbee,12.0,Team Liquid,16.0,43,43,0,39,3,107,60,13,38,20,71,53,112,18,43,1,4,86,47,78,44,97,54,2,52,0
0,3539645043,20,3,AMD SAPPHIRE Dota PIT,5690,OG,0.0,Vici Gaming,11.0,29,20,1,3,38,47,13,9,79,107,85,27,78,12,45,72,65,69,68,63,94,81,17,41,76,1
0,3539833160,20,3,AMD SAPPHIRE Dota PIT,5690,OG,0.0,Vici Gaming,11.0,12,29,1,3,38,9,78,20,107,47,85,27,100,12,45,68,65,43,110,97,96,109,1,17,8,0
0,3539980173,20,3,AMD SAPPHIRE Dota PIT,5690,Vici Gaming,11.0,OG,0.0,40,33,1,107,3,78,85,38,43,84,112,51,76,57,88,65,45,13,9,35,26,29,81,41,20,1
0,3540226851,20,3,AMD SAPPHIRE Dota PIT,5690,Virtus.pro,18.0,Fnatic,7.0,21,32,0,62,3,84,38,86,31,112,47,85,7,12,16,88,65,45,92,37,94,78,1,51,73,0
0,3540395141,20,3,AMD SAPPHIRE Dota PIT,5690,Virtus.pro,18.0,Fnatic,7.0,23,15,0,62,3,84,38,86,31,112,53,60,92,94,15,12,74,27,7,39,109,65,70,29,36,1
0,3540529925,20,3,AMD SAPPHIRE Dota PIT,5690,Fnatic,7.0,Virtus.pro,18.0,29,32,0,38,3,31,53,112,60,86,85,71,78,36,94,39,65,27,68,13,12,4,106,18,44,0
0,3540681433,20,3,AMD SAPPHIRE Dota PIT,5690,Virtus.pro,18.0,Vici Gaming,11.0,30,50,1,97,60,31,38,85,3,84,112,14,78,47,65,35,76,13,26,1,4,49,51,9,57,0
