,radiant_id,radiant_name,dire_id,dire_name,kills,radiant1,radiant2,radiant3,radiant4,radiant5,dire1,dire2,dire3,dire4,dire5,radiant_win
0,4.0,LGD.Forever Young,5.0,LGD-GAMING,76,3,30,15,65,103,88,58,74,114,12,1
1,32.0,iG.Vitality,4.0,LGD.Forever Young,45,107,45,8,65,85,112,7,51,92,1,1
2,4.0,LGD.Forever Young,32.0,iG.Vitality,65,107,64,63,39,29,68,84,35,20,16,1
5,5.0,LGD-GAMING,23.0,Invictus Gaming,68,31,43,7,69,40,41,84,20,66,6,0
6,5.0,LGD-GAMING,23.0,Invictus Gaming,61,107,65,64,18,49,62,87,13,54,106,0
7,44.0,TEAM MAX,15.0,VGJ Thunder,51,3,60,26,1,39,84,13,30,43,28,0
8,44.0,TEAM MAX,15.0,VGJ Thunder,65,7,36,27,8,97,31,69,100,43,40,0
12,79.0,Team Waooo,24.0,Eclipse,51,38,30,60,54,13,80,62,64,28,44,1
13,24.0,Eclipse,79.0,Team Waooo,61,3,64,84,12,108,65,62,78,85,72,0
14,58.0,Vici Gaming Potential,51.0,Team Braveheart,61,88,64,40,49,8,62,13,26,54,15,0
15,4.0,LGD.Forever Young,23.0,Invictus Gaming,18,107,43,50,55,12,84,20,92,94,38,1
16,44.0,TEAM MAX,23.0,Invictus Gaming,77,20,30,85,35,16,38,84,43,87,28,0
17,44.0,TEAM MAX,23.0,Invictus Gaming,49,20,84,92,13,49,112,85,30,39,81,0
20,58.0,Vici Gaming Potential,51.0,Team Braveheart,45,64,9,55,63,71,51,112,11,8,96,1
22,47.0,Newbee.Young,81.0,Team VDuoBao,53,38,40,51,65,4,64,30,16,109,39,1
24,5.0,LGD-GAMING,15.0,VGJ Thunder,62,7,13,87,106,56,28,90,97,44,70,0
26,81.0,Team VDuoBao,47.0,Newbee.Young,37,3,102,7,12,35,20,38,88,15,1,0
27,15.0,VGJ Thunder,5.0,LGD-GAMING,50,28,87,9,69,114,78,107,36,58,95,0
28,54.0,SG e-sports team,12.0,Newbee,37,9,50,62,55,42,53,16,87,39,8,1
30,59.0,Rock Gaming,30.0,ForTheDream,81,13,51,20,30,39,40,26,114,16,28,0
31,4.0,LGD.Forever Young,44.0,TEAM MAX,40,31,16,9,35,85,58,38,84,20,39,1
32,12.0,Newbee,54.0,SG e-sports team,43,16,85,86,15,74,53,71,70,112,46,1
33,44.0,TEAM MAX,4.0,LGD.Forever Young,33,84,38,92,42,35,16,68,43,78,67,0
34,54.0,SG e-sports team,12.0,Newbee,58,91,85,64,41,9,112,71,13,54,39,0
35,59.0,Rock Gaming,30.0,ForTheDream,40,40,60,84,57,95,88,13,30,20,35,1
36,59.0,Rock Gaming,30.0,ForTheDream,33,60,30,65,8,49,16,64,51,54,43,1
37,35.0,Immortals,16.0,Team Liquid,68,3,86,47,8,78,9,88,87,96,12,0
38,9.0,Gambit Esports,34.0,M19,28,38,60,37,1,9,63,112,16,13,6,1
39,16.0,Team Liquid,35.0,Immortals,54,40,31,62,109,20,47,86,107,13,93,1
41,9.0,Gambit Esports,34.0,M19,26,63,71,66,65,35,107,37,43,108,93,1
42,16.0,Team Liquid,12.0,Newbee,72,3,14,36,1,88,112,71,55,72,11,1
43,12.0,Newbee,16.0,Team Liquid,86,20,112,47,44,2,71,53,86,78,52,0
44,24.0,Eclipse,30.0,ForTheDream,62,62,64,30,114,39,71,20,86,104,4,0
45,24.0,Eclipse,30.0,ForTheDream,36,64,32,50,109,114,51,92,4,40,25,0
46,81.0,Team VDuoBao,51.0,Team Braveheart,41,85,44,20,40,100,6,92,13,84,4,1
47,51.0,Team Braveheart,81.0,Team VDuoBao,49,38,20,84,109,36,30,62,16,9,81,0
48,79.0,Team Waooo,59.0,Rock Gaming,50,3,54,31,28,39,62,65,114,38,36,0
49,59.0,Rock Gaming,79.0,Team Waooo,62,28,44,85,47,75,88,16,101,36,52,0
50,59.0,Rock Gaming,79.0,Team Waooo,52,20,85,62,40,109,88,16,30,43,44,0
51,0.0,OG,11.0,Vici Gaming,49,107,78,68,94,41,85,27,69,63,76,1
52,58.0,Vici Gaming Potential,47.0,Newbee.Young,36,60,38,75,49,93,39,107,112,102,9,1
53,0.0,OG,11.0,Vici Gaming,41,47,100,110,96,17,85,27,43,97,8,0
54,58.0,Vici Gaming Potential,47.0,Newbee.Young,42,51,112,25,69,8,107,39,64,16,81,1
55,11.0,Vici Gaming,0.0,OG,73,84,76,9,26,41,112,51,13,35,20,1
56,18.0,Virtus.pro,7.0,Fnatic,53,112,7,92,94,51,47,85,45,37,73,0
57,18.0,Virtus.pro,7.0,Fnatic,38,112,92,7,109,29,53,60,27,39,36,1
58,7.0,Fnatic,18.0,Virtus.pro,61,86,78,68,12,18,85,71,27,13,44,0
