,radiant_id,radiant_name,dire_id,dire_name,kills,radiant1,radiant2,radiant3,radiant4,radiant5,dire1,dire2,dire3,dire4,dire5,radiant_win
0,,xGame.kz,,TheRerereTRY,0,103,5,63,54,76,40,51,86,21,65,1
1,,PO5EiDON,,xGame.kz,0,31,99,40,54,68,92,98,17,13,36,0
2,,SuperStrongDinosaurs,21.0,Team Empire,0,98,5,76,47,21,51,72,3,86,63,1
3,,Team Aspera.,,TheRerereTRY,0,103,5,98,21,13,31,47,3,9,17,1
4,,Team Aspera.,57.0,mousesports,0,31,103,9,20,63,98,45,58,65,47,0
5,,FlipSideTactics,21.0,Team Empire,0,98,5,89,13,53,40,54,92,15,11,0
6,,_PowerRangers,,PO5EiDON,0,5,51,56,73,20,40,99,47,89,34,0
7,,Osliki Gaming,,4 Friends + Chrillee,0,76,63,5,23,66,51,31,72,103,3,1
8,,PO5EiDON,,FlipSideTactics,0,98,92,63,21,69,47,45,89,86,62,1
9,,xGame.kz,,4 Friends + Chrillee,0,51,92,5,3,69,9,40,98,63,49,1
10,,_PowerRangers,,xGame.kz,0,40,63,21,76,73,103,5,9,20,15,0
11,,_PowerRangers,,SuperStrongDinosaurs,0,5,51,76,79,39,31,9,23,86,54,1
12,,PO5EiDON,,Radical Online X-tremists,0,103,31,54,98,11,40,69,5,92,76,0
13,,xGame.kz,,FlipSideTactics,0,92,5,17,13,3,51,40,54,9,80,1
14,,_PowerRangers,,4 Friends + Chrillee,0,40,9,73,23,72,51,92,21,76,46,1
15,7.0,Fnatic,,Team Aspera.,0,53,40,13,102,17,92,63,55,88,72,1
16,,FlipSideTactics,,_PowerRangers,0,92,54,66,56,73,51,40,5,43,27,0
17,,SIGMA.int,,My Horse is Amazing!!!,0,9,3,13,92,21,40,51,69,102,63,1
18,57.0,mousesports,,SuperStrongDinosaurs,0,99,98,3,46,79,92,9,65,13,21,0
19,,Alliance,18.0,Virtus.pro,0,103,5,9,13,20,69,86,63,53,88,1
20,,Osliki Gaming,18.0,Virtus.pro,0,5,9,51,13,1,40,69,92,21,11,1
21,,Osliki Gaming,,TheRerereTRY,0,5,45,88,76,73,9,53,86,17,66,0
22,18.0,Virtus.pro,21.0,Team Empire,0,69,5,9,63,65,31,98,102,7,39,1
23,,Radical Online X-tremists,21.0,Team Empire,0,92,72,40,49,58,45,53,7,88,21,0
24,18.0,Virtus.pro,57.0,mousesports,0,5,99,63,11,73,92,98,26,102,17,1
25,,Osliki Gaming,,SIGMA.int,0,51,9,21,13,72,103,3,92,40,46,0
26,18.0,Virtus.pro,,FlipSideTactics,0,5,99,102,73,43,51,27,56,63,88,1
27,,Team Aspera.,,xGame.kz,0,40,9,21,63,13,31,103,73,53,34,1
28,,Team Aspera.,,_PowerRangers,0,9,40,17,3,49,31,63,39,21,97,1
29,,Team Aspera.,,SuperStrongDinosaurs,0,98,9,53,48,62,40,76,86,21,89,0
30,,_PowerRangers,,TheRerereTRY,0,54,92,65,66,21,5,17,63,73,26,1
31,18.0,Virtus.pro,,"Relax, you are doing fine.",0,5,69,9,73,88,31,51,92,7,98,0
32,18.0,Virtus.pro,,_PowerRangers,0,40,9,7,13,92,99,86,48,39,36,1
33,18.0,Virtus.pro,,QPAD Red Pandas,0,5,21,63,17,36,40,9,7,62,38,1
34,,4 Friends + Chrillee,,Radical Online X-tremists,0,45,53,76,84,63,40,9,51,7,66,0
35,,QPAD Red Pandas,,_PowerRangers,0,9,3,40,103,69,92,73,86,43,99,0
36,57.0,mousesports,,4 Friends + Chrillee,0,80,79,52,58,8,5,99,13,98,72,1
37,,Alliance,17.0,Natus Vincere,0,48,58,13,69,60,92,73,40,21,86,1
38,,"Relax, you are doing fine.",7.0,Fnatic,0,53,58,86,32,49,92,51,40,63,97,1
39,,Alliance,7.0,Fnatic,0,53,66,49,72,43,103,73,91,86,1,1
40,,QPAD Red Pandas,7.0,Fnatic,0,3,9,66,19,17,103,5,91,56,97,0
41,,Osliki Gaming,21.0,Team Empire,0,92,73,17,69,60,103,5,102,63,53,0
42,,"Relax, you are doing fine.",21.0,Team Empire,0,73,99,58,9,60,92,98,69,86,45,0
43,,TheRerereTRY,,"Relax, you are doing fine.",0,40,103,86,100,21,73,47,52,8,17,1
44,,Aspera/,17.0,Natus Vincere,0,58,63,86,32,13,103,92,91,54,21,0
45,,TheRerereTRY,17.0,Natus Vincere,0,5,63,54,53,33,47,86,45,21,99,0
46,,TheRerereTRY,,Radical Online X-tremists,0,103,102,28,72,100,73,76,92,60,66,0
47,,Radical Online X-tremists,,Alliance,0,73,5,102,76,66,53,45,7,63,23,0
48,,QPAD Red Pandas,,Alliance,0,40,73,63,50,70,99,5,91,31,39,0
49,,SIGMA.int,,SuperStrongDinosaurs,0,3,9,13,53,72,73,40,86,26,28,0
50,,SIGMA.int,,Aspera/,0,31,9,45,63,29,76,3,5,51,21,1
51,57.0,mousesports,,xGame.kz,0,5,92,51,62,49,103,63,21,56,39,1
52,57.0,mousesports,,Alliance,0,5,99,86,79,13,103,92,48,73,17,1
53,,Alliance,21.0,Team Empire,0,92,73,54,3,93,103,5,49,62,20,1
54,,Osliki Gaming,,Alliance,0,45,73,63,19,2,5,55,80,102,59,1
55,,Osliki Gaming,,xGame.kz,0,103,45,31,69,65,73,51,5,88,11,0
56,,FlipSideTactics,,SIGMA.int,0,73,9,99,49,8,3,5,98,79,13,0
57,,FlipSideTactics,57.0,mousesports,0,92,51,54,49,66,5,99,93,17,88,0
58,,xGame.kz,,QPAD Red Pandas,0,5,51,76,49,29,92,73,48,69,66,1
59,18.0,Virtus.pro,,Aspera),0,51,5,76,33,30,103,73,47,31,48,1
60,,SIGMA.int,,Alliance,0,99,5,93,69,11,9,3,92,79,49,0
61,,QPAD Red Pandas,,Radical Online X-tremists,0,73,3,76,17,5,99,102,15,55,86,0
62,57.0,mousesports,,"Relax, you are doing fine.",0,86,99,73,67,65,5,98,92,26,43,0
63,17.0,Natus Vincere,21.0,Team Empire,0,73,9,79,83,53,103,5,48,88,33,0
64,,Radical Online X-tremists,17.0,Natus Vincere,0,92,76,93,28,31,103,15,50,91,19,1
65,,_PowerRangers,,Alliance,0,92,73,51,39,7,5,63,40,58,8,1
66,57.0,mousesports,,_PowerRangers,0,86,53,21,102,74,5,69,63,49,56,0
67,18.0,Virtus.pro,,xGame.kz,0,73,5,76,86,72,69,98,58,21,48,1
68,,xGame.kz,17.0,Natus Vincere,0,99,5,66,48,33,103,73,79,13,56,0
69,18.0,Virtus.pro,17.0,Natus Vincere,0,5,53,84,62,13,92,48,58,63,17,0
70,,SIGMA.int,,TheRerereTRY,0,5,98,92,58,54,93,51,86,9,49,1
71,,QPAD Red Pandas,17.0,Natus Vincere,0,99,5,48,93,69,51,91,79,88,39,0
72,,FlipSideTactics,,Alliance,0,98,5,91,54,58,103,92,49,81,82,0
73,,Alliance,,TheRerereTRY,0,92,99,40,26,47,73,15,53,13,80,1
74,17.0,Natus Vincere,,Osliki Gaming,0,5,99,48,93,31,92,51,45,13,33,1
75,17.0,Natus Vincere,,"Relax, you are doing fine.",0,99,48,79,52,49,5,98,56,66,17,1
76,,SuperStrongDinosaurs,,TheRerereTRY,0,73,86,54,33,11,5,53,49,51,13,0
77,,Osliki Gaming,,SuperStrongDinosaurs,0,40,51,86,47,65,5,92,99,59,63,0
78,18.0,Virtus.pro,,TheRerereTRY,0,5,53,49,52,93,103,48,84,33,54,0
79,,mousesportz,17.0,Natus Vincere,0,103,56,5,98,97,73,86,9,92,69,0
80,,Radical Online X-tremists,,_PowerRangers,0,5,88,48,56,51,45,102,50,53,33,1
81,,QPAD Red Pandas,,TheRerereTRY,0,92,76,102,70,101,53,91,47,21,6,1
